point_ID,set_num,game_num,point_num,serve_num,strike_index,position,x,y,z
1_1_1_1,1,1,1,1,1,hit,-11.598,-1.434,2.791
1_1_1_1,1,1,1,1,1,peak,-11.598,-1.434,2.791
1_1_1_1,1,1,1,1,1,net,0.0,1.671,1.214
1_1_1_1,1,1,1,1,1,bounce,5.544,3.424,0.035
1_1_1_1,1,1,1,1,2,hit,11.987,5.73,1.226
1_1_1_1,1,1,1,1,2,peak,5.633,4.522,1.521
1_1_1_1,1,1,1,1,2,net,0.0,3.506,1.25
1_1_1_1,1,1,1,1,2,bounce,-7.022,2.28,0.036
1_1_1_1,1,1,1,1,3,hit,-11.979,1.341,0.9
1_1_1_1,1,1,1,1,3,peak,-5.221,0.618,1.375
1_1_1_1,1,1,1,1,3,net,0.0,0.066,1.035
1_1_1_1,1,1,1,1,3,bounce,4.85,-0.439,0.034
1_1_1_1,1,1,1,1,3,peak,8.734,-0.809,0.697
1_1_1_1,1,1,1,1,4,hit,11.454,-1.074,0.333
1_1_1_1,1,1,1,1,4,net,0.0,0.011,1.747
1_1_1_1,1,1,1,1,4,peak,-0.533,0.047,1.75
1_1_1_1,1,1,1,1,4,bounce,-10.621,0.527,0.036
1_1_1_1,1,1,1,1,4,peak,-13.409,0.414,0.735
1_1_1_1,1,1,1,1,5,hit,-14.224,0.365,0.671
1_1_1_1,1,1,1,1,5,peak,-3.697,-1.424,2.002
1_1_1_1,1,1,1,1,5,net,0.0,-2.003,1.799
1_1_1_1,1,1,1,1,5,bounce,7.305,-3.136,0.03
1_1_1_1,1,1,1,1,5,peak,12.896,-4.06,1.438
1_1_1_1,1,1,1,1,6,hit,13.608,-4.179,1.412
1_1_1_1,1,1,1,1,6,peak,3.745,-1.711,2.089
1_1_1_1,1,1,1,1,6,net,0.0,-0.762,1.967
1_1_1_1,1,1,1,1,6,bounce,-10.477,1.924,0.034
1_1_1_1,1,1,1,1,7,hit,-13.718,2.689,0.888
1_1_1_1,1,1,1,1,7,peak,-4.921,1.711,1.543
1_1_1_1,1,1,1,1,7,net,0.0,1.253,1.294
1_1_1_1,1,1,1,1,7,bounce,6.742,0.733,0.034
1_1_1_1,1,1,1,1,7,peak,11.234,0.38,0.906
1_1_1_1,1,1,1,1,8,hit,12.148,0.319,0.865
1_1_1_1,1,1,1,1,8,peak,3.793,-0.639,1.438
1_1_1_1,1,1,1,1,8,net,0.0,-1.125,1.294
1_1_1_1,1,1,1,1,8,bounce,-7.415,-2.172,0.033
