point_ID,set_num,game_num,point_num,serve_num,strike_index,position,x,y,z
1_1_2_1,1,1,2,1,1,hit,-11.45,2.876,2.824
1_1_2_1,1,1,2,1,1,peak,-11.45,2.876,2.824
1_1_2_1,1,1,2,1,1,net,0.0,-1.814,1.155
1_1_2_1,1,1,2,1,1,bounce,5.593,-4.04,0.035
1_1_2_1,1,1,2,1,2,hit,19.993,-9.628,0.62
1_1_2_1,1,1,2,1,2,peak,18.158,-9.073,1.143
1_1_2_1,1,1,2,1,2,bounce,14.075,-7.897,0.019
1_1_2_1,1,1,2,1,2,peak,13.268,-7.686,0.151
1_1_2_1,1,1,2,1,2,last,12.526,-7.493,0.029
1_1_3_1,1,1,3,1,1,hit,-11.603,-2.24,2.848
1_1_3_1,1,1,3,1,1,peak,-11.603,-2.24,2.848
1_1_3_1,1,1,3,1,1,net,0.0,0.462,1.004
1_1_3_1,1,1,3,1,1,bounce,4.492,1.63,0.046
1_1_3_1,1,1,3,1,2,hit,13.151,3.93,1.277
1_1_3_1,1,1,3,1,2,peak,9.081,3.738,1.401
1_1_3_1,1,1,3,1,2,last,0.001,3.197,0.656
1_2_1_1,1,2,1,1,1,hit,-11.444,2.09,2.837
1_2_1_1,1,2,1,1,1,peak,-11.444,2.09,2.837
1_2_1_1,1,2,1,1,1,net,0.0,-0.629,1.004
1_2_1_1,1,2,1,1,1,bounce,4.305,-1.869,0.046
1_2_1_1,1,2,1,1,2,hit,11.887,-4.134,1.308
1_2_1_1,1,2,1,1,2,peak,3.332,-1.136,1.725
1_2_1_1,1,2,1,1,2,net,0.0,0.005,1.645
1_2_1_1,1,2,1,1,2,bounce,-10.445,3.42,0.025
1_2_1_1,1,2,1,1,3,hit,-13.088,4.229,0.762
1_2_1_1,1,2,1,1,3,peak,-5.259,4.645,1.51
1_2_1_1,1,2,1,1,3,net,0.0,4.862,1.112
1_2_1_1,1,2,1,1,3,bounce,4.67,4.999,0.032
1_2_1_1,1,2,1,1,3,last,4.716,4.998,0.031
1_2_1_2,1,2,1,2,1,hit,-11.903,-1.67,2.937
1_2_1_2,1,2,1,2,1,peak,-11.903,-1.67,2.937
1_2_1_2,1,2,1,2,1,net,0.0,1.895,1.408
1_2_1_2,1,2,1,2,1,bounce,5.464,3.1,0.033
1_2_1_2,1,2,1,2,2,hit,10.027,4.264,1.329
1_2_1_2,1,2,1,2,2,peak,1.936,1.421,1.971
1_2_1_2,1,2,1,2,2,net,0.0,0.781,1.929
1_2_1_2,1,2,1,2,2,bounce,-10.289,-2.361,0.03
1_2_1_2,1,2,1,2,3,hit,-13.833,-3.401,0.968
1_2_1_2,1,2,1,2,3,peak,-2.973,0.688,1.983
