point_ID,set_num,game_num,point_num,serve_num,strike_index,position,x,y,z
1_1_1_1,1,1,1,1,1,hit,-11.3590002,-0.38499999,2.96499991
1_1_1_1,1,1,1,1,1,peak,-11.3590002,-0.38499999,2.96499991
1_1_1_1,1,1,1,1,1,net,0.0,0.48300001,1.00600004
1_1_1_1,1,1,1,1,1,bounce,4.34200001,0.913999975,0.0439999998
1_1_1_1,1,1,1,1,1,peak,14.052,1.87300003,1.55900002
1_1_1_1,1,1,1,1,2,hit,14.198,1.88999999,1.55900002
1_1_1_1,1,1,1,1,2,peak,6.20699978,1.46300006,2.01699996
1_1_1_1,1,1,1,1,2,net,0.0,1.05599999,1.67299998
1_1_1_1,1,1,1,1,2,bounce,-7.74399996,0.455000013,0.0359999985
1_1_1_1,1,1,1,1,2,peak,-12.0979996,0.25,1.19099998
1_1_1_1,1,1,1,1,3,hit,-12.5139999,0.229000002,1.17900002
1_1_1_1,1,1,1,1,3,peak,-4.42500019,-0.851000011,1.755
1_1_1_1,1,1,1,1,3,net,-0.0,-1.44599998,1.55599999
1_1_1_1,1,1,1,1,3,bounce,8.06799984,-2.58500004,0.0289999992
1_1_1_1,1,1,1,1,3,peak,13.9300003,-3.31200004,1.36399996
1_1_1_1,1,1,1,1,4,hit,13.9300003,-3.31200004,1.36399996
1_1_1_1,1,1,1,1,4,peak,3.53999996,-1.58700001,2.16199994
1_1_1_1,1,1,1,1,4,net,0.0,-1.05499995,2.046
1_1_1_1,1,1,1,1,4,bounce,-10.3570004,0.340999991,0.0469999984
1_1_1_1,1,1,1,1,4,peak,-14.0889997,0.934000015,1.24600005
1_1_1_1,1,1,1,1,5,hit,-14.0889997,0.934000015,1.24600005
1_1_1_1,1,1,1,1,5,peak,-6.83300018,-0.435000002,1.68599999
1_1_1_1,1,1,1,1,5,net,-0.0,-1.71800005,1.22300005
1_1_1_1,1,1,1,1,5,bounce,5.72900009,-2.80800009,0.0359999985
1_1_1_1,1,1,1,1,5,peak,11.4449997,-3.75399995,1.04700005
1_1_1_1,1,1,1,1,6,hit,13.3079996,-4.07200003,0.930000007
1_1_1_1,1,1,1,1,6,peak,5.56899977,-1.89300001,1.39600003
1_1_1_1,1,1,1,1,6,net,0.0,-0.368000001,1.10099995
1_1_1_1,1,1,1,1,6,bounce,-5.86100006,1.227,0.0320000015
1_1_1_1,1,1,1,1,6,peak,-9.93299961,2.46700001,0.754999995
1_1_1_1,1,1,1,1,7,hit,-12.3610001,3.22799993,0.448000014
1_1_1_1,1,1,1,1,7,peak,-2.04200006,0.623000026,1.80400002
1_1_1_1,1,1,1,1,7,net,0.0,0.127000004,1.74300003
1_1_1_1,1,1,1,1,7,bounce,8.45499992,-1.88600004,0.0390000008
1_1_1_1,1,1,1,1,7,peak,12.9689999,-3.11999989,1.296
1_1_1_1,1,1,1,1,8,hit,12.9689999,-3.11999989,1.296
1_1_1_1,1,1,1,1,8,peak,1.79499996,-0.209999993,2.125
1_1_1_1,1,1,1,1,8,net,-0.0,0.287,2.09899998
1_1_1_1,1,1,1,1,8,bounce,-12.4490004,4.0710001,0.0419999994
1_1_1_1,1,1,1,1,8,last,-14.2279997,4.55499983,0.665000021
1_1_2_1,1,1,2,1,1,hit,-11.3269997,0.999000013,2.98900008
1_1_2_1,1,1,2,1,1,peak,-11.3269997,0.999000013,2.98900008
1_1_2_1,1,1,2,1,1,net,-0.0,-2.18400002,1.36000001
1_1_2_1,1,1,2,1,1,bounce,6.61999989,-3.83500004,0.0309999995
1_1_2_1,1,1,2,1,1,last,13.3120003,-5.49399996,1.255
1_1_2_2,1,1,2,2,1,hit,-11.3540001,1.30299997,3.00399995
1_1_2_2,1,1,2,2,1,peak,-11.3540001,1.30299997,3.00399995
1_1_2_2,1,1,2,2,1,net,-0.0,-2.39499998,1.57599998
1_1_2_2,1,1,2,2,1,bounce,6.29799986,-4.03700018,0.0299999993
1_1_2_2,1,1,2,2,1,peak,14.033,-6.26399994,1.55499995
1_1_2_2,1,1,2,2,2,hit,15.5939999,-6.64599991,1.48899996
1_1_2_2,1,1,2,2,2,peak,7.77199984,-4.08099985,1.93400002
1_1_2_2,1,1,2,2,2,net,0.0,-1.70500004,1.38199997
1_1_2_2,1,1,2,2,2,bounce,-5.98500013,-0.0270000007,0.0379999988
1_1_2_2,1,1,2,2,2,peak,-11.0769997,1.38499999,1.13800001
1_1_2_2,1,1,2,2,3,hit,-12.0670004,1.64300001,1.09099996
1_1_2_2,1,1,2,2,3,peak,-3.80500007,-0.224000007,1.73599994
1_1_2_2,1,1,2,2,3,net,-0.0,-1.04900002,1.57500005
1_1_2_2,1,1,2,2,3,bounce,7.90700006,-2.68499994,0.0280000009
1_1_2_2,1,1,2,2,3,peak,14.1120005,-4.00400019,1.27100003
1_1_2_2,1,1,2,2,4,hit,14.8760004,-4.16800022,1.25100005
1_1_2_2,1,1,2,2,4,peak,7.78499985,-2.35400009,1.58399999
1_1_2_2,1,1,2,2,4,net,0.0,-0.421000004,1.08599997
1_1_2_2,1,1,2,2,4,bounce,-5.41300011,0.867999971,0.0399999991
1_1_2_2,1,1,2,2,4,peak,-10.5200005,2.148,0.967000008
1_1_2_2,1,1,2,2,5,hit,-12.5139999,2.62599993,0.800000012
1_1_2_2,1,1,2,2,5,peak,-3.21700001,-0.0850000009,1.66299999
1_1_2_2,1,1,2,2,5,net,-0.0,-0.995000005,1.53900003
1_1_2_2,1,1,2,2,5,bounce,7.79199982,-3.14299989,0.0280000009
1_1_2_2,1,1,2,2,5,peak,13.1599998,-4.6420002,1.15999997
1_1_2_2,1,1,2,2,6,hit,13.2460003,-4.66599989,1.15999997
1_1_2_2,1,1,2,2,6,peak,7.53399992,-3.88899994,1.34500003
1_1_2_2,1,1,2,2,6,net,-0.00800000038,-2.94300008,0.953999996
1_1_2_2,1,1,2,2,6,peak,-0.00800000038,-2.94300008,0.953999996
1_1_2_2,1,1,2,2,6,bounce,0.245000005,-2.76399994,0.0350000001
1_1_2_2,1,1,2,2,6,last,0.98299998,-2.58999991,0.640999973
1_1_3_1,1,1,3,1,1,hit,-11.3979998,-0.412999988,2.99099994
1_1_3_1,1,1,3,1,1,peak,-11.3979998,-0.412999988,2.99099994
1_1_3_1,1,1,3,1,1,net,-0.0,0.305000007,1.12800002
1_1_3_1,1,1,3,1,1,bounce,5.12400007,0.739000022,0.0460000001
1_1_3_1,1,1,3,1,1,peak,13.9960003,1.57500005,1.47500002
1_1_3_1,1,1,3,1,2,hit,13.9960003,1.57500005,1.47500002
1_1_3_1,1,1,3,1,2,peak,4.31699991,0.338999987,2.33299994
1_1_3_1,1,1,3,1,2,net,0.0,-0.266000003,2.1170001
1_1_3_1,1,1,3,1,2,bounce,-8.76900005,-1.62800002,0.0320000015
1_1_3_1,1,1,3,1,2,peak,-11.7790003,-2.10299993,1.19400001
1_1_3_1,1,1,3,1,3,hit,-11.7790003,-2.10299993,1.19400001
1_1_3_1,1,1,3,1,3,peak,-5.38999987,0.0540000014,1.71700001
1_1_3_1,1,1,3,1,3,net,0.0,1.90600002,1.28199995
1_1_3_1,1,1,3,1,3,bounce,4.92199993,3.6099999,0.0209999997
1_1_3_1,1,1,3,1,3,last,10.6920004,5.71700001,1.22000003
1_1_4_1,1,1,4,1,1,hit,-11.3950005,0.911000013,3.06399989
1_1_4_1,1,1,4,1,1,peak,-11.3950005,0.911000013,3.06399989
1_1_4_1,1,1,4,1,1,net,-0.0,-2.15400004,1.13199997
1_1_4_1,1,1,4,1,1,bounce,5.34800005,-3.4749999,0.0329999998
1_1_4_1,1,1,4,1,1,peak,13.1420002,-5.3829999,1.17299998
1_1_4_1,1,1,4,1,2,hit,13.1420002,-5.3829999,1.17299998
1_1_4_1,1,1,4,1,2,peak,8.96000004,-3.45799994,1.32000005
1_1_4_1,1,1,4,1,2,net,0.00899999961,0.649999976,0.433999985
1_1_4_1,1,1,4,1,2,peak,0.00899999961,0.649999976,0.433999985
1_1_4_1,1,1,4,1,2,bounce,0.0829999968,1.21700001,0.0469999984
1_1_4_1,1,1,4,1,2,last,0.335000008,1.48500001,0.291000009
1_2_1_1,1,2,1,1,1,hit,-10.9610004,-0.467999995,2.98600006
1_2_1_1,1,2,1,1,1,net,0.0,0.312999994,0.898999989
1_2_1_1,1,2,1,1,1,peak,0.133000001,0.324000001,0.870000005
1_2_1_1,1,2,1,1,1,last,0.133000001,0.324000001,0.870000005
1_2_1_2,1,2,1,2,1,hit,-11.401,-0.25,3.14299989
1_2_1_2,1,2,1,2,1,net,0.0,0.379000008,1.204
1_2_1_2,1,2,1,2,1,bounce,4.27799988,0.879000008,0.0439999998
1_2_1_2,1,2,1,2,1,peak,12.4659996,1.57299995,1.80200005
1_2_1_2,1,2,1,2,2,hit,15.6339998,1.93700004,1.48500001
1_2_1_2,1,2,1,2,2,peak,7.66699982,1.903,1.91100001
1_2_1_2,1,2,1,2,2,net,0.0,1.63999999,1.41799998
1_2_1_2,1,2,1,2,2,bounce,-6.6960001,1.23300004,0.0320000015
1_2_1_2,1,2,1,2,2,peak,-12.033,0.977999985,1.06200004
1_2_1_2,1,2,1,2,3,hit,-12.085,0.976000011,1.06099999
1_2_1_2,1,2,1,2,3,peak,-3.44799995,1.75,1.59200001
1_2_1_2,1,2,1,2,3,net,0.0,2.0480001,1.49199998
1_2_1_2,1,2,1,2,3,bounce,9.28100014,2.78699994,0.0430000015
1_2_1_2,1,2,1,2,3,peak,14.0649996,3.19499993,0.911000013
1_2_1_2,1,2,1,2,4,hit,15.3459997,3.29200006,0.839999974
1_2_1_2,1,2,1,2,4,peak,4.28299999,2.60100007,2.19899988
1_2_1_2,1,2,1,2,4,net,0.0,2.26300001,1.94700003
1_2_1_2,1,2,1,2,4,bounce,-7.69500017,1.55799997,0.0309999995
1_2_1_2,1,2,1,2,4,peak,-12.0109997,1.13999999,1.35099995
1_2_1_2,1,2,1,2,5,hit,-12.0109997,1.13999999,1.35099995
1_2_1_2,1,2,1,2,5,peak,-6.19199991,1.28100002,1.96000004
1_2_1_2,1,2,1,2,5,net,0.0,1.30700004,1.02499998
1_2_1_2,1,2,1,2,5,bounce,2.43300009,1.26499999,0.0460000001
1_2_1_2,1,2,1,2,5,last,3.89499998,1.12699997,0.730000019
1_2_2_1,1,2,2,1,1,hit,-11.1499996,0.291000009,3.03999996
1_2_2_1,1,2,2,1,1,peak,-11.1499996,0.291000009,3.03999996
1_2_2_1,1,2,2,1,1,net,-0.0,-1.02999997,1.05700004
1_2_2_1,1,2,2,1,1,bounce,4.70900011,-1.56599998,0.0450000018
1_2_2_1,1,2,2,1,1,peak,13.9139996,-2.625,1.472
1_2_2_1,1,2,2,1,2,hit,13.9139996,-2.625,1.472
1_2_2_1,1,2,2,1,2,peak,8.24600029,-1.90400004,1.653
1_2_2_1,1,2,2,1,2,net,-0.0,-0.764999986,1.17400002
1_2_2_1,1,2,2,1,2,bounce,-6.21000004,0.178000003,0.0379999988
1_2_2_1,1,2,2,1,2,peak,-10.6330004,0.853999972,0.688000023
1_2_2_1,1,2,2,1,3,hit,-10.7589998,0.874000013,0.686999977
1_2_2_1,1,2,2,1,3,peak,-4.06400013,1.61099994,1.17700005
1_2_2_1,1,2,2,1,3,net,0.0130000003,2.12599993,0.984000027
1_2_2_1,1,2,2,1,3,peak,4.39400005,2.47099996,4.00899982
1_2_2_1,1,2,2,1,3,bounce,8.80900002,2.70900011,0.0410000011
1_2_2_1,1,2,2,1,3,peak,11.6800003,2.84800005,1.93400002
1_2_2_1,1,2,2,1,4,hit,12.3830004,2.87100005,1.81500006
1_2_2_1,1,2,2,1,4,peak,6.5710001,2.51799989,2.03900003
1_2_2_1,1,2,2,1,4,net,0.0,2.23799992,1.71099997
1_2_2_1,1,2,2,1,5,hit,-2.671,2.16300011,1.375
1_2_2_1,1,2,2,1,5,net,0.0,1.824,1.63800001
1_2_2_1,1,2,2,1,5,peak,2.74799991,1.45099998,1.73599994
1_2_2_1,1,2,2,1,5,bounce,12.885,-0.238000005,0.0480000004
1_2_2_1,1,2,2,1,5,last,15.8509998,-0.84799999,0.885999978
1_2_3_1,1,2,3,1,1,hit,-11.1890001,-0.620000005,3.0710001
1_2_3_1,1,2,3,1,1,net,0.0,1.26499999,1.08399999
1_2_3_1,1,2,3,1,1,bounce,4.92399979,2.13000011,0.0309999995
1_2_3_1,1,2,3,1,1,peak,13.6599998,3.70700002,1.495
1_2_3_1,1,2,3,1,2,hit,13.6599998,3.70700002,1.495
1_2_3_1,1,2,3,1,2,peak,1.574,0.310000002,3.80999994
1_2_3_1,1,2,3,1,2,net,0.0,-0.0879999995,3.76399994
1_2_3_1,1,2,3,1,2,bounce,-11.632,-2.84800005,0.0299999993
1_2_3_1,1,2,3,1,2,peak,-15.0290003,-3.80800009,1.89100003
1_2_3_1,1,2,3,1,2,last,-15.0290003,-3.80800009,1.89100003
1_2_4_1,1,2,4,1,1,hit,-11.0530005,0.270000011,3.00200009
1_2_4_1,1,2,4,1,1,net,-0.0,-2.51999998,1.28100002
1_2_4_1,1,2,4,1,1,bounce,5.50099993,-3.75300002,0.0320000015
1_2_4_1,1,2,4,1,1,peak,13.3800001,-5.61499977,1.48199999
1_2_4_1,1,2,4,1,2,hit,13.3800001,-5.61499977,1.48199999
1_2_4_1,1,2,4,1,2,peak,9.00899982,-3.87899995,1.69700003
1_2_4_1,1,2,4,1,2,net,0.00700000022,-0.393000007,0.617999971
1_2_4_1,1,2,4,1,2,peak,0.00700000022,-0.393000007,0.617999971
1_2_4_1,1,2,4,1,2,last,0.497000009,-0.133000001,0.197999999
1_2_5_1,1,2,5,1,1,hit,-11.2889996,-0.225999996,3.06200004
1_2_5_1,1,2,5,1,1,net,-0.0,-0.263999999,1.22500002
1_2_5_1,1,2,5,1,1,bounce,5.954,-0.282999992,0.0480000004
1_2_5_1,1,2,5,1,1,last,16.1690006,-0.345999986,1.44799995
1_2_5_2,1,2,5,2,1,hit,-11.4460001,-0.236000001,3.08699989
1_2_5_2,1,2,5,2,1,net,-0.0,0.620000005,1.05599999
1_2_5_2,1,2,5,2,1,bounce,3.6329999,1.06700003,0.0450000018
1_2_5_2,1,2,5,2,1,peak,12.8260002,1.77499998,2.01300001
1_2_5_2,1,2,5,2,2,hit,15.5939999,2.07999992,1.80999994
1_2_5_2,1,2,5,2,2,peak,4.08199978,1.23500001,2.6960001
1_2_5_2,1,2,5,2,2,net,0.0,1.00699997,2.55500007
1_2_5_2,1,2,5,2,2,bounce,-12.1739998,0.499000013,0.0469999984
1_2_5_2,1,2,5,2,2,last,-16.3430004,0.207000002,1.55400002
1_2_6_1,1,2,6,1,1,hit,-11.1239996,0.324999988,3.08200002
1_2_6_1,1,2,6,1,1,net,0.00300000003,-2.50900006,0.779999971
1_2_6_1,1,2,6,1,1,peak,0.00300000003,-2.579,0.786000013
1_2_6_1,1,2,6,1,1,bounce,-0.148000002,-3.33200002,0.0379999988
1_2_6_1,1,2,6,1,1,last,-0.49000001,-3.65700006,0.509000003
1_2_6_2,1,2,6,2,1,hit,-11.2580004,0.474000007,3.08200002
1_2_6_2,1,2,6,2,1,net,0.0130000003,-1.82799995,0.94599998
1_2_6_2,1,2,6,2,1,peak,0.0130000003,-1.82799995,0.94599998
1_2_6_2,1,2,6,2,1,bounce,-0.126000002,-2.43400002,0.0379999988
1_2_6_2,1,2,6,2,1,last,-1.176,-3.02600002,0.889999986
1_2_7_1,1,2,7,1,1,hit,-11.0889997,-0.501999974,2.96000004
1_2_7_1,1,2,7,1,1,peak,-11.0889997,-0.501999974,2.96000004
1_2_7_1,1,2,7,1,1,net,-0.0,2.52399993,1.39300001
1_2_7_1,1,2,7,1,1,bounce,6.65199995,4.57399988,0.023
1_2_7_1,1,2,7,1,1,last,13.3290005,6.59499979,1.44299996
1_2_7_2,1,2,7,2,1,hit,-11.3809996,-0.414999992,3.06399989
1_2_7_2,1,2,7,2,1,net,0.0,0.792999983,1.03799999
1_2_7_2,1,2,7,2,1,bounce,3.5940001,1.40600002,0.0450000018
