point_ID,set_num,game_num,point_num,serve_num,strike_index,position,x,y,z
1_1_1_2,1,1,1,2,1,hit,12.844,2.934,0.976
1_1_1_2,1,1,1,2,1,peak,4.362,1.852,1.577
1_1_1_2,1,1,1,2,1,net,0.0,1.356,1.382
1_1_1_2,1,1,1,2,1,bounce,-7.236,0.635,0.032
1_1_1_2,1,1,1,2,1,peak,-11.57,0.093,0.901
1_1_1_2,1,1,1,2,2,hit,-12.229,0.017,0.878
1_1_1_2,1,1,1,2,2,peak,-2.09,-0.808,1.606
1_1_1_2,1,1,1,2,2,net,0.0,-0.988,1.57
1_1_1_2,1,1,1,2,2,bounce,10.75,-1.994,0.034
1_1_1_2,1,1,1,2,2,peak,13.514,-2.27,0.74
1_1_1_2,1,1,1,2,3,hit,13.514,-2.27,0.74
1_1_1_2,1,1,1,2,3,peak,2.245,-0.713,1.822
1_1_1_2,1,1,1,2,3,net,0.0,-0.41,1.769
1_1_1_2,1,1,1,2,3,bounce,-9.72,0.924,0.035
1_1_1_2,1,1,1,2,3,peak,-13.38,1.466,0.946
1_1_1_2,1,1,1,2,4,hit,-13.38,1.466,0.946
1_1_1_2,1,1,1,2,4,peak,-2.501,-0.429,1.819
1_1_1_2,1,1,1,2,4,net,0.0,-0.85,1.764
1_1_1_2,1,1,1,2,4,bounce,10.92,-2.628,0.035
1_1_1_2,1,1,1,2,4,peak,13.406,-3.089,0.763
1_1_1_2,1,1,1,2,5,hit,13.406,-3.089,0.763
1_1_1_2,1,1,1,2,5,net,0.0,-0.489,2.44
1_1_1_2,1,1,1,2,5,peak,-0.757,-0.344,2.446
1_1_1_2,1,1,1,2,5,bounce,-12.885,2.208,0.036
1_1_2_1,1,1,2,1,1,hit,11.505,-1.326,2.668
1_1_2_1,1,1,2,1,1,net,0.0,2.089,0.986
1_1_2_1,1,1,2,1,1,bounce,-4.221,3.419,0.032
1_1_2_1,1,1,2,1,1,peak,-11.367,5.866,1.149
1_1_2_1,1,1,2,1,2,hit,-9.39,4.991,1.193
1_1_2_1,1,1,2,1,2,net,-0.005,0.743,0.185
1_1_2_1,1,1,2,1,2,peak,-0.021,0.666,0.03
1_1_2_1,1,1,2,1,2,peak,-0.192,0.634,0.1
1_1_2_1,1,1,2,1,2,last,-0.319,0.6,0.03
1_1_3_1,1,1,3,1,1,hit,11.309,1.126,2.657
1_1_3_1,1,1,3,1,1,net,0.0,-1.27,1.225
1_1_3_1,1,1,3,1,1,bounce,-5.583,-2.408,0.031
1_1_3_1,1,1,3,1,1,peak,-12.165,-3.72,1.063
1_1_3_1,1,1,3,1,2,hit,-12.382,-3.76,1.062
1_1_3_1,1,1,3,1,2,peak,-4.603,-1.361,1.581
1_1_3_1,1,1,3,1,2,net,-0.0,0.022,1.371
1_1_3_1,1,1,3,1,2,bounce,7.4,2.18,0.034
1_1_3_1,1,1,3,1,2,peak,12.13,3.532,0.844
1_1_3_1,1,1,3,1,3,hit,12.13,3.532,0.844
1_1_3_1,1,1,3,1,3,peak,1.474,0.516,1.835
1_1_3_1,1,1,3,1,3,net,0.0,0.102,1.811
1_1_3_1,1,1,3,1,3,bounce,-10.243,-2.766,0.034
1_1_3_1,1,1,3,1,3,peak,-12.893,-3.595,0.909
1_1_3_1,1,1,3,1,4,hit,-12.893,-3.595,0.909
1_1_3_1,1,1,3,1,4,peak,-2.546,-2.189,2.005
1_1_3_1,1,1,3,1,4,net,0.0,-1.862,1.928
1_1_3_1,1,1,3,1,4,bounce,9.74,-0.701,0.032
1_1_3_1,1,1,3,1,4,peak,13.794,-0.029,1.115
1_1_3_1,1,1,3,1,5,hit,13.794,-0.029,1.115
1_1_3_1,1,1,3,1,5,peak,3.482,-1.203,1.758
1_1_3_1,1,1,3,1,5,net,0.0,-1.643,1.664
1_1_3_1,1,1,3,1,5,bounce,-10.004,-3.069,0.035
1_1_3_1,1,1,3,1,5,peak,-13.524,-3.643,0.902
1_1_3_1,1,1,3,1,6,hit,-13.524,-3.643,0.902
1_1_3_1,1,1,3,1,6,peak,-1.609,-3.482,2.143
1_1_3_1,1,1,3,1,6,net,0.0,-3.483,2.116
1_1_3_1,1,1,3,1,6,bounce,11.641,-3.673,0.032
1_1_3_1,1,1,3,1,6,peak,15.09,-3.661,1.136
1_1_3_1,1,1,3,1,7,hit,15.09,-3.661,1.136
1_1_3_1,1,1,3,1,7,peak,1.5,-2.1,5.877
1_1_3_1,1,1,3,1,7,net,0.0,-1.91,5.794
1_1_3_1,1,1,3,1,7,bounce,-9.777,-0.536,0.033
1_1_3_1,1,1,3,1,7,peak,-10.989,-0.328,1.788
1_1_3_1,1,1,3,1,8,hit,-10.989,-0.328,1.788
1_1_4_1,1,1,4,1,1,hit,11.378,-1.539,2.625
1_1_4_1,1,1,4,1,1,net,0.0,0.654,1.216
1_1_4_1,1,1,4,1,1,bounce,-5.438,1.825,0.032
1_1_4_1,1,1,4,1,1,peak,-12.395,3.603,1.116
1_1_4_1,1,1,4,1,2,hit,-12.395,3.603,1.116
1_1_4_1,1,1,4,1,2,peak,-6.791,2.75,1.304
1_1_4_1,1,1,4,1,2,net,-0.0,1.722,0.98
1_1_4_1,1,1,4,1,2,bounce,6.241,0.776,0.031
1_1_4_1,1,1,4,1,2,peak,11.162,0.014,0.593
1_1_4_1,1,1,4,1,3,hit,12.296,-0.163,0.559
1_1_4_1,1,1,4,1,3,peak,2.461,-1.345,1.608
1_1_4_1,1,1,4,1,3,net,0.0,-1.668,1.528
1_1_4_1,1,1,4,1,3,bounce,-7.799,-2.784,0.033
1_1_4_1,1,1,4,1,3,peak,-11.728,-3.359,0.954
1_1_4_1,1,1,4,1,4,hit,-13.528,-3.635,0.728
1_1_4_1,1,1,4,1,4,peak,-1.261,-0.582,2.146
1_1_4_1,1,1,4,1,4,net,0.0,-0.256,2.127
1_1_4_1,1,1,4,1,4,bounce,11.036,2.715,0.033
1_1_4_1,1,1,4,1,4,peak,13.852,3.549,0.946
1_1_4_1,1,1,4,1,5,hit,13.852,3.549,0.946
1_1_4_1,1,1,4,1,5,peak,4.041,0.338,1.739
1_1_4_1,1,1,4,1,5,net,0.0,-0.966,1.57
1_1_4_1,1,1,4,1,5,bounce,-8.04,-3.52,0.033
1_1_4_1,1,1,4,1,5,peak,-12.193,-4.945,0.987
1_1_4_1,1,1,4,1,6,hit,-6.178,-3.377,1.228
1_1_4_1,1,1,4,1,6,net,0.099,-1.728,0.898
1_1_4_1,1,1,4,1,6,peak,0.099,-1.728,0.898
1_1_4_1,1,1,4,1,6,bounce,-0.319,-1.408,0.03
1_1_4_1,1,1,4,1,6,last,-1.299,-1.039,0.78
1_1_5_1,1,1,5,1,1,hit,11.335,1.026,2.607
1_1_5_1,1,1,5,1,1,net,-0.0,-0.435,0.969
1_1_5_1,1,1,5,1,1,bounce,-4.405,-0.921,0.029
1_1_5_1,1,1,5,1,1,peak,-11.687,-1.563,1.094
1_1_5_1,1,1,5,1,2,hit,-12.388,-1.612,1.083
1_1_5_1,1,1,5,1,2,peak,-1.935,-0.972,2.007
1_1_5_1,1,1,5,1,2,net,0.0,-0.837,1.97
1_1_5_1,1,1,5,1,2,bounce,11.164,0.035,0.032
1_1_5_1,1,1,5,1,2,peak,12.633,0.143,0.544
1_1_5_1,1,1,5,1,3,hit,12.633,0.143,0.544
1_1_5_1,1,1,5,1,3,peak,1.794,0.195,2.265
1_1_5_1,1,1,5,1,3,net,0.0,0.207,2.207
1_1_5_1,1,1,5,1,3,bounce,-8.573,0.295,0.032
1_1_5_1,1,1,5,1,3,peak,-12.535,0.366,1.417
1_1_5_1,1,1,5,1,4,hit,-12.535,0.366,1.417
1_1_5_1,1,1,5,1,4,peak,-8.052,-0.258,1.499
1_1_5_1,1,1,5,1,4,net,-0.0,-1.299,1.19
1_1_5_1,1,1,5,1,4,bounce,8.54,-2.336,0.033
1_1_6_1,1,1,6,1,1,hit,11.415,-1.734,2.658
1_1_6_1,1,1,6,1,1,net,0.0,0.266,1.265
1_1_6_1,1,1,6,1,1,bounce,-5.606,1.382,0.033
1_1_6_1,1,1,6,1,1,peak,-12.085,2.884,1.109
1_1_6_1,1,1,6,1,2,hit,-12.409,2.965,1.106
1_1_6_1,1,1,6,1,2,peak,-2.705,2.234,1.918
1_1_6_1,1,1,6,1,2,net,0.0,2.037,1.844
1_1_6_1,1,1,6,1,2,bounce,10.169,1.313,0.032
1_1_6_1,1,1,6,1,2,peak,13.274,1.105,0.904
1_1_6_1,1,1,6,1,3,hit,13.274,1.105,0.904
1_1_6_1,1,1,6,1,3,peak,4.248,-0.429,1.628
1_1_6_1,1,1,6,1,3,net,0.0,-1.14,1.429
1_1_6_1,1,1,6,1,3,bounce,-7.13,-2.32,0.031
1_1_6_1,1,1,6,1,3,peak,-11.327,-3.092,0.906
1_1_6_1,1,1,6,1,4,hit,-12.506,-3.301,0.828
1_1_6_1,1,1,6,1,4,peak,-2.881,-1.856,1.489
1_1_6_1,1,1,6,1,4,net,0.0,-1.43,1.419
1_1_6_1,1,1,6,1,4,bounce,9.54,-0.073,0.032
1_1_6_1,1,1,6,1,4,peak,13.362,0.501,0.832
1_1_6_1,1,1,6,1,5,hit,13.362,0.501,0.832
1_1_6_1,1,1,6,1,5,peak,2.197,1.032,2.055
1_1_6_1,1,1,6,1,5,net,0.0,1.144,1.995
1_1_6_1,1,1,6,1,5,bounce,-9.58,1.658,0.035
1_1_6_1,1,1,6,1,5,peak,-13.644,1.881,1.203
1_1_6_1,1,1,6,1,6,hit,-14.007,1.899,1.192
1_1_6_1,1,1,6,1,6,peak,-2.757,2.323,2.074
1_1_6_1,1,1,6,1,6,net,0.0,2.452,2.01
1_1_6_1,1,1,6,1,6,bounce,11.591,3.103,0.033
1_1_6_1,1,1,6,1,6,peak,13.847,3.181,0.821
1_1_6_1,1,1,6,1,7,hit,6.241,1.581,1.454
1_1_6_1,1,1,6,1,7,net,0.005,0.227,0.901
1_1_6_1,1,1,6,1,7,peak,0.005,0.227,0.901
1_1_6_1,1,1,6,1,7,bounce,0.188,-0.051,0.03
1_1_6_1,1,1,6,1,7,last,0.74,-0.352,0.932
1_2_1_2,1,2,1,2,1,hit,11.707,1.731,2.795
1_2_1_2,1,2,1,2,1,net,-0.0,-1.423,1.136
1_2_1_2,1,2,1,2,1,bounce,-4.165,-2.329,0.029
1_2_1_2,1,2,1,2,1,peak,-11.11,-3.696,1.425
1_2_1_2,1,2,1,2,2,hit,-13.484,-4.074,1.235
1_2_1_2,1,2,1,2,2,peak,-1.74,-1.849,2.583
1_2_1_2,1,2,1,2,2,net,-0.0,-1.567,2.548
1_2_1_2,1,2,1,2,2,bounce,11.981,0.001,0.032
1_2_1_2,1,2,1,2,2,last,15.454,0.285,1.173
1_2_2_1,1,2,2,1,1,hit,11.695,-1.691,2.844
1_2_2_1,1,2,2,1,1,net,0.0,0.757,1.301
1_2_2_1,1,2,2,1,1,bounce,-5.666,2.198,0.032
1_2_2_1,1,2,2,1,1,peak,-12.4,4.236,1.102
1_2_2_1,1,2,2,1,2,hit,-13.164,4.493,1.086
1_2_2_1,1,2,2,1,2,peak,-3.044,2.202,1.981
1_2_2_1,1,2,2,1,2,net,0.0,1.541,1.884
1_2_2_1,1,2,2,1,2,bounce,9.905,-0.496,0.032
1_2_2_1,1,2,2,1,2,peak,13.125,-1.155,0.958
1_2_2_1,1,2,2,1,3,hit,13.125,-1.155,0.958
1_2_2_1,1,2,2,1,3,peak,5.206,0.397,1.535
1_2_2_1,1,2,2,1,3,net,0.0,1.455,1.223
1_2_2_1,1,2,2,1,3,bounce,-5.669,2.68,0.033
1_2_2_1,1,2,2,1,3,peak,-9.812,3.466,0.883
1_2_2_1,1,2,2,1,4,hit,-12.273,3.936,0.53
1_2_2_1,1,2,2,1,4,peak,-1.44,1.242,1.759
1_2_2_1,1,2,2,1,4,net,0.0,0.878,1.733
1_2_2_1,1,2,2,1,4,bounce,9.73,-1.616,0.034
1_2_2_1,1,2,2,1,4,peak,13.623,-2.67,0.981
1_2_2_1,1,2,2,1,5,hit,13.623,-2.67,0.981
1_2_2_1,1,2,2,1,5,peak,5.774,-1.286,1.404
1_2_2_1,1,2,2,1,5,net,0.0,-0.264,1.117
