point_ID,set_num,game_num,point_num,serve_num,strike_index,position,x,y,z
2_2_3_1,2,2,3,1,1,hit,11.477,2.698,2.79
2_2_3_1,2,2,3,1,1,peak,11.477,2.698,2.79
2_2_3_1,2,2,3,1,1,net,0.0,0.254,1.106
2_2_3_1,2,2,3,1,1,bounce,-4.789,-1.02,0.039
2_2_3_1,2,2,3,1,2,hit,-11.894,-3.009,1.267
2_2_3_1,2,2,3,1,2,peak,-4.381,-2.73,1.559
2_2_3_1,2,2,3,1,2,net,0.0,-2.56,1.455
2_2_3_1,2,2,3,1,3,hit,1.847,-2.485,1.348
2_2_3_1,2,2,3,1,3,peak,0.746,-2.562,1.362
2_2_3_1,2,2,3,1,3,net,0.0,-2.615,1.355
2_2_3_1,2,2,3,1,3,bounce,-9.098,-3.274,0.033
2_2_3_1,2,2,3,1,4,hit,-10.558,-3.358,0.473
2_2_3_1,2,2,3,1,4,peak,-0.601,-3.773,3.368
2_2_3_1,2,2,3,1,4,net,0.0,-3.802,3.355
2_2_3_1,2,2,3,1,5,hit,3.279,-3.972,2.83
2_2_3_1,2,2,3,1,5,net,0.0,-2.291,1.565
2_2_3_1,2,2,3,1,5,bounce,-2.838,-0.801,0.043
2_2_3_1,2,2,3,1,5,peak,-7.291,1.344,1.959
2_2_3_1,2,2,3,1,6,hit,-9.917,2.608,1.163
2_2_3_1,2,2,3,1,6,peak,-4.936,2.849,1.421
2_2_3_1,2,2,3,1,6,net,0.0,3.056,1.134
2_2_3_1,2,2,3,1,6,bounce,5.532,3.211,0.033
2_2_3_1,2,2,3,1,6,peak,10.933,3.471,0.951
2_2_3_1,2,2,3,1,7,hit,13.492,3.591,0.724
2_2_3_1,2,2,3,1,7,peak,2.615,4.524,1.957
2_2_3_1,2,2,3,1,7,net,0.0,4.664,1.869
2_2_3_1,2,2,3,1,7,bounce,-8.966,4.837,0.025
2_2_3_1,2,2,3,1,7,peak,-15.565,4.794,1.44
2_2_3_1,2,2,3,1,7,last,-17.992,4.778,1.243
2_2_4_1,2,2,4,1,1,hit,11.504,-2.831,2.757
2_2_4_1,2,2,4,1,1,peak,11.504,-2.831,2.757
2_2_4_1,2,2,4,1,1,net,0.0,0.131,0.943
2_2_4_1,2,2,4,1,1,bounce,-10.66,2.979,0.025
2_2_4_1,2,2,4,1,1,last,-14.663,5.106,0.025
2_2_4_2,2,2,4,2,1,hit,11.513,-3.384,2.73
2_2_4_2,2,2,4,2,1,peak,11.513,-3.384,2.73
2_2_4_2,2,2,4,2,1,net,0.0,0.859,1.034
2_2_4_2,2,2,4,2,1,bounce,-3.605,1.853,0.044
2_2_4_2,2,2,4,2,2,hit,-10.656,3.982,1.43
2_2_4_2,2,2,4,2,2,peak,-2.353,1.313,2.173
2_2_4_2,2,2,4,2,2,net,0.0,0.586,2.103
2_2_4_2,2,2,4,2,2,bounce,9.624,-2.316,0.03
2_2_4_2,2,2,4,2,2,peak,13.448,-3.45,1.158
2_2_4_2,2,2,4,2,3,hit,13.449,-3.45,1.158
2_2_4_2,2,2,4,2,3,peak,3.191,0.064,2.3
2_2_4_2,2,2,4,2,3,net,0.0,1.085,2.167
2_2_4_2,2,2,4,2,3,bounce,-9.175,3.838,0.029
2_2_4_2,2,2,4,2,4,hit,-12.835,4.881,1.367
2_2_4_2,2,2,4,2,4,peak,-4.978,1.783,2.033
2_2_4_2,2,2,4,2,4,net,0.0,-0.196,1.718
2_2_4_2,2,2,4,2,5,hit,1.903,-0.958,1.422
2_2_4_2,2,2,4,2,5,net,0.0,-1.194,1.464
2_2_4_2,2,2,4,2,5,peak,-0.162,-1.215,1.464
2_2_4_2,2,2,4,2,6,hit,-10.488,-2.787,0.154
2_2_4_2,2,2,4,2,6,peak,-5.888,-1.688,0.773
2_2_4_2,2,2,4,2,6,bounce,-1.398,-0.673,0.045
2_2_4_2,2,2,4,2,6,peak,-0.28,-0.316,0.742
2_2_4_2,2,2,4,2,6,peak,-1.405,-0.359,0.611
2_2_4_2,2,2,4,2,6,last,-1.852,-0.364,0.084
2_2_5_1,2,2,5,1,1,hit,11.622,2.805,2.761
2_2_5_1,2,2,5,1,1,peak,11.622,2.805,2.761
2_2_5_1,2,2,5,1,1,net,0.0,0.205,1.228
2_2_5_1,2,2,5,1,1,bounce,-5.606,-1.263,0.039
2_2_5_1,2,2,5,1,2,hit,-11.728,-2.917,1.066
2_2_5_1,2,2,5,1,2,peak,-10.001,-2.331,1.086
2_2_5_1,2,2,5,1,2,peak,-0.028,1.099,0.354
2_2_5_1,2,2,5,1,2,bounce,-0.34,1.484,0.042
2_2_5_1,2,2,5,1,2,last,-0.34,1.488,0.042
2_3_1_1,2,3,1,1,1,hit,-11.343,-1.844,2.677
2_3_1_1,2,3,1,1,1,peak,-11.343,-1.844,2.677
2_3_1_1,2,3,1,1,1,net,0.0,-0.035,1.339
2_3_1_1,2,3,1,1,1,bounce,6.539,1.16,0.047
