point_ID,set_num,game_num,point_num,serve_num,strike_index,position,x,y,z
1_1_1_1,1,1,1,1,1,hit,11.474,1.18599999,2.69199991
1_1_1_1,1,1,1,1,1,net,-0.0,0.213,1.08399999
1_1_1_1,1,1,1,1,1,bounce,-4.91099977,-0.282000005,0.0399999991
1_1_1_1,1,1,1,1,1,peak,-11.9399996,-0.89200002,1.125
1_1_1_1,1,1,1,1,2,hit,-12.9530001,-0.989000022,1.10000002
1_1_1_1,1,1,1,1,2,peak,-4.51200008,-1.13499999,2.15700006
1_1_1_1,1,1,1,1,2,net,-0.0,-1.20299995,1.79700005
1_1_1_1,1,1,1,1,2,bounce,6.08500004,-1.27499998,0.0399999991
1_1_1_1,1,1,1,1,2,peak,10.6099997,-1.36699998,1.39499998
1_1_1_1,1,1,1,1,3,hit,12.1920004,-1.39300001,1.21000004
1_1_1_1,1,1,1,1,3,peak,3.12899995,-0.277999997,1.80700004
1_1_1_1,1,1,1,1,3,net,0.0,0.103,1.72000003
1_1_1_1,1,1,1,1,3,bounce,-10.0220003,1.34399998,0.0359999985
1_1_1_1,1,1,1,1,3,peak,-13.7489996,1.89199996,0.976000011
1_1_1_1,1,1,1,1,4,hit,-13.7489996,1.89199996,0.976000011
1_1_1_1,1,1,1,1,4,peak,-4.42299986,0.0329999998,1.68799996
1_1_1_1,1,1,1,1,4,net,-0.0,-0.814999998,1.49600005
1_1_1_1,1,1,1,1,4,bounce,8.00899982,-2.26799989,0.0359999985
1_1_1_1,1,1,1,1,4,peak,13.033,-3.18199992,1.19000006
1_1_1_1,1,1,1,1,5,hit,13.4350004,-3.25099993,1.18200004
1_1_1_1,1,1,1,1,5,peak,3.6170001,-1.88300002,1.83200002
1_1_1_1,1,1,1,1,5,net,-0.0,-1.38699996,1.722
1_1_1_1,1,1,1,1,5,bounce,-9.92700005,-0.0729999989,0.0359999985
1_1_1_1,1,1,1,1,5,peak,-13.7130003,0.446999997,0.938000023
1_1_1_1,1,1,1,1,6,hit,-13.7130003,0.446999997,0.938000023
1_1_1_1,1,1,1,1,6,peak,-2.60599995,1.28199995,1.94299996
1_1_1_1,1,1,1,1,6,net,0.0,1.50100005,1.87800002
1_1_1_1,1,1,1,1,6,bounce,10.6359997,2.54699993,0.0399999991
1_1_1_1,1,1,1,1,6,peak,14.3830004,2.92700005,1.03699994
1_1_1_1,1,1,1,1,7,hit,14.3830004,2.92700005,1.03699994
1_1_1_1,1,1,1,1,7,peak,4.69000006,0.569999993,1.83599997
1_1_1_1,1,1,1,1,7,net,0.0,-0.550999999,1.597
1_1_1_1,1,1,1,1,7,bounce,-7.43900013,-2.29399991,0.0370000005
1_1_1_1,1,1,1,1,7,peak,-12.5480003,-3.48000002,1.33500004
1_1_1_1,1,1,1,1,8,hit,-12.8199997,-3.53999996,1.33099997
1_1_1_1,1,1,1,1,8,peak,-4.72700024,-2.94700003,1.80200005
1_1_1_1,1,1,1,1,8,net,0.0,-2.65700006,1.60800004
1_1_1_1,1,1,1,1,8,bounce,8.83100033,-2.19899988,0.0320000015
1_1_1_1,1,1,1,1,8,peak,14.6619997,-1.71399999,1.27999997
1_1_1_1,1,1,1,1,9,hit,14.9820004,-1.68299997,1.27699995
1_1_1_1,1,1,1,1,9,peak,6.80100012,-0.889999986,1.71399999
1_1_1_1,1,1,1,1,9,net,0.0,-0.215000004,1.32200003
1_1_1_1,1,1,1,1,9,bounce,-6.51100016,0.467999995,0.0370000005
1_1_1_1,1,1,1,1,9,peak,-10.842,0.893000007,0.926999986
1_1_1_1,1,1,1,1,10,hit,-12.0600004,1.01699996,0.84799999
1_1_1_1,1,1,1,1,10,peak,-2.96399999,-0.927999973,1.62100005
1_1_1_1,1,1,1,1,10,net,0.0,-1.55599999,1.52199996
1_1_1_1,1,1,1,1,10,bounce,8.36600018,-3.28399992,0.0320000015
1_1_1_1,1,1,1,1,10,peak,13.507,-4.35699987,1.22099996
1_1_1_1,1,1,1,1,11,hit,14.6829996,-4.59499979,1.15400004
1_1_1_1,1,1,1,1,11,peak,5.13800001,-1.824,1.76699996
1_1_1_1,1,1,1,1,11,net,0.0,-0.319999993,1.54100001
1_1_1_1,1,1,1,1,11,bounce,-8.2329998,2.08400011,0.0390000008
1_1_1_1,1,1,1,1,11,peak,-12.427,3.36199999,1.074
1_1_1_1,1,1,1,1,12,hit,-12.427,3.36199999,1.074
1_1_1_1,1,1,1,1,12,peak,-3.94899988,3.19199991,1.58200002
1_1_1_1,1,1,1,1,12,net,0.0,3.15700006,1.45099998
1_1_1_1,1,1,1,1,12,bounce,8.8210001,3.20000005,0.0399999991
1_1_1_1,1,1,1,1,12,peak,14.1820002,3.06999993,1.11800003
1_1_1_1,1,1,1,1,13,hit,15.6859999,3.046,1.02600002
1_1_1_1,1,1,1,1,13,net,0.0,1.41299999,4.63399982
1_1_1_1,1,1,1,1,13,peak,-0.0149999997,1.41100001,4.63399982
1_1_1_1,1,1,1,1,13,bounce,-11.2220001,-0.467000008,0.0370000005
1_1_1_1,1,1,1,1,13,peak,-11.5349998,-0.809000015,1.69400001
1_1_1_1,1,1,1,1,14,hit,-11.7130003,-1.01100004,1.00699997
1_1_1_1,1,1,1,1,14,peak,-2.20000005,0.56099999,1.75399995
1_1_1_1,1,1,1,1,14,net,0.0,0.922999978,1.70599997
1_1_1_1,1,1,1,1,14,bounce,10.0380001,2.56599998,0.0399999991
1_1_1_1,1,1,1,1,14,peak,15.5220003,3.477,1.45099998
1_1_1_1,1,1,1,1,15,hit,15.5220003,3.477,1.45099998
