year,player1,player2,player1_id,player1_country,player1_seed,player2_id,player2_country,player2_seed,court_name,court_id,num_sets_completed,match_type,match_status,match_id,tournament,league
2019,K. KRAWIETZ/A. MIES,G. PELLA/D. SCHWARTZMAN,21648-22962,GER-GER,,16173-24162,ARG-ARG,,Court Suzanne-Lenglen,2,2,Men's Doubles,C,atp_roland_garros_2019DM003,roland_garros,atp
2019,J. CHARDY/F. MARTIN,K. KRAWIETZ/A. MIES,11493-12085,FRA-FRA,,21648-22962,GER-GER,,Court Philippe-Chatrier,1,2,Men's Doubles,C,atp_roland_garros_2019DM001,roland_garros,atp
2019,J. CHARDY/F. MARTIN,J. CABAL/R. FARAH,11493-12085,FRA-FRA,,9211-26918,COL-COL,3,Court Philippe-Chatrier,1,2,Men's Doubles,C,atp_roland_garros_2019DM002,roland_garros,atp
2019,K. KHACHANOV,J. DEL POTRO,29528,RUS,10,11713,ARG,8,Court Suzanne LENGLEN,2,4,Men's Singles,C,atp_roland_garros_2019SM011,roland_garros,atp
2019,D.THIEM,R.NADAL,26348,AUT,4,7792,ESP,2,Court Philippe CHATRIER,1,4,Men's Singles,C,atp_roland_garros_2019SM001,roland_garros,atp
2019,D.GOFFIN,R.NADAL,19706,BEL,27,7792,ESP,2,Court Philippe CHATRIER,1,4,Men's Singles,C,atp_roland_garros_2019SM031,roland_garros,atp
2019,A.HOANG,G.MONFILS,27071,FRA,,9525,FRA,14,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM021,roland_garros,atp
2019,T.DANIEL,G.MONFILS,26227,JPN,,9525,FRA,14,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM087,roland_garros,atp
2019,N.DJOKOVIC,H.LAAKSONEN,9801,SRB,1,19041,SUI,,Court Suzanne LENGLEN,2,3,Men's Singles,C,atp_roland_garros_2019SM032,roland_garros,atp
2019,N.DJOKOVIC,D.THIEM,9801,SRB,1,26348,AUT,4,Court Philippe CHATRIER,1,5,Men's Singles,C,atp_roland_garros_2019SM002,roland_garros,atp
2019,S.TSITSIPAS,S.WAWRINKA,35398,GRE,6,7815,SUI,24,Court Suzanne LENGLEN,2,5,Men's Singles,C,atp_roland_garros_2019SM012,roland_garros,atp
2019,Y.HANFMANN,R.NADAL,22568,GER,,7792,ESP,2,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM127,roland_garros,atp
2019,F. FOGNINI,A. ZVEREV,9852,ITA,9,30350,GER,5,Court Suzanne LENGLEN,2,4,Men's Singles,C,atp_roland_garros_2019SM009,roland_garros,atp
2019,N.DJOKOVIC,A.ZVEREV,9801,SRB,1,30350,GER,5,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM004,roland_garros,atp
2019,K.NISHIKORI,B.PAIRE,13059,JPN,7,20017,FRA,,Court Suzanne LENGLEN,2,5,Men's Singles,C,atp_roland_garros_2019SM014,roland_garros,atp
2019,S.TSITSIPAS,F.KRAJINOVIC,35398,GRE,6,20557,SRB,,Court Philippe CHATRIER,1,4,Men's Singles,C,atp_roland_garros_2019SM024,roland_garros,atp
2019,L.SONEGO,R.FEDERER,35289,ITA,,2508,SUI,3,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM111,roland_garros,atp
2019,S.BOLELLI,L.POUILLE,9677,ITA,,26325,FRA,22,Court Suzanne LENGLEN,2,3,Men's Singles,C,atp_roland_garros_2019SM091,roland_garros,atp
2019,B. PAIRE,P. HERBERT,20017,FRA,,21623,FRA,,Court Suzanne LENGLEN,2,5,Men's Singles,C,atp_roland_garros_2019SM059,roland_garros,atp
2019,C.RUUD,R.FEDERER,36389,NOR,,2508,SUI,3,Court Suzanne LENGLEN,2,3,Men's Singles,C,atp_roland_garros_2019SM027,roland_garros,atp
2019,K.NISHIKORI,Q.HALYS,13059,JPN,7,31036,FRA,,Court Suzanne LENGLEN,2,3,Men's Singles,C,atp_roland_garros_2019SM112,roland_garros,atp
2019,J.MILLMAN,A.ZVEREV,19769,AUS,,30350,GER,5,Court Philippe CHATRIER,1,5,Men's Singles,C,atp_roland_garros_2019SM079,roland_garros,atp
2019,K.NISHIKORI,R.NADAL,13059,JPN,7,7792,ESP,2,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM007,roland_garros,atp
2019,N.DJOKOVIC,H.HURKACZ,9801,SRB,1,31976,POL,,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM064,roland_garros,atp
2019,M.KLIZAN,L.POUILLE,15883,SVK,,26325,FRA,22,Court Philippe CHATRIER,1,5,Men's Singles,C,atp_roland_garros_2019SM045,roland_garros,atp
2019,JW.TSONGA,P.GOJOWCZYK,6291,FRA,,15722,GER,,Court Suzanne LENGLEN,2,4,Men's Singles,C,atp_roland_garros_2019SM113,roland_garros,atp
2019,O. OTTE,R. FEDERER,27419,GER,,2508,SUI,3,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM055,roland_garros,atp
2019,T.FABBIANO,M.CILIC,13555,ITA,,11674,CRO,11,Court Suzanne LENGLEN,2,3,Men's Singles,C,atp_roland_garros_2019SM103,roland_garros,atp
2019,S. WAWRINKA,R. FEDERER,7815,SUI,24,2508,SUI,3,Court Suzanne LENGLEN,2,4,Men's Singles,C,atp_roland_garros_2019SM006,roland_garros,atp
2019,N.DJOKOVIC,S.CARUSO,9801,SRB,1,24574,ITA,,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM016,roland_garros,atp
2019,JI.LONDERO,R.NADAL,26285,ARG,,7792,ESP,2,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM015,roland_garros,atp
2019,F.FOGNINI,R.BAUTISTA AGUT,9852,ITA,9,13354,ESP,18,Court Suzanne LENGLEN,2,4,Men's Singles,C,atp_roland_garros_2019SM018,roland_garros,atp
2019,N. DJOKOVIC,J. STRUFF,9801,SRB,1,23386,GER,,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM008,roland_garros,atp
2019,D.THIEM,K.KHACHANOV,26348,AUT,4,29528,RUS,10,Court Suzanne LENGLEN,2,3,Men's Singles,C,atp_roland_garros_2019SM005,roland_garros,atp
2019,K. NISHIKORI,J. TSONGA,13059,JPN,7,6291,FRA,,Court Philippe CHATRIER,1,4,Men's Singles,C,atp_roland_garros_2019SM056,roland_garros,atp
2019,D.THIEM,T.PAUL,26348,AUT,4,33541,USA,,Court Suzanne LENGLEN,2,4,Men's Singles,C,atp_roland_garros_2019SM080,roland_garros,atp
2019,S.TSITSIPAS,M.MARTERER,35398,GRE,6,29682,GER,,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM096,roland_garros,atp
2019,D.THIEM,A.BUBLIK,26348,AUT,4,29098,KAZ,,Court Philippe CHATRIER,1,4,Men's Singles,C,atp_roland_garros_2019SM040,roland_garros,atp
2019,L.MAYER,R.FEDERER,12105,ARG,,2508,SUI,3,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM013,roland_garros,atp
2019,R.FEDERER,R.NADAL,2508,SUI,3,7792,ESP,2,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM003,roland_garros,atp
2019,Y. MADEN,R. NADAL,17608,GER,,7792,ESP,2,Court Suzanne LENGLEN,2,3,Men's Singles,C,atp_roland_garros_2019SM063,roland_garros,atp
2019,D. THIEM,G. MONFILS,26348,AUT,4,9525,FRA,14,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM010,roland_garros,atp
