"name","id","country","league","player_handedness"
"A.BALAZS","ATPBD80","HUN","atp","right-handed"
"A.BEDENE","19666","SLO","atp","right-handed"
"A.BEDENE","ATPBH09","SLO","atp","right-handed"
"A.BOLT","ATPBI81","AUS","atp","left-handed"
"A.BUBLIK","29098","KAZ","atp","right-handed"
"A.BUBLIK","ATPBK92","KAZ","atp","right-handed"
"A.DAVIDOVICHFOKINA","ATPDH50","ESP","atp","right-handed"
"A.DAVIDOVICHFOKINA","39036","ESP","atp","right-handed"
"A.DEMINAUR","ATPDH58","AUS","atp","right-handed"
"A.HARRIS","ATPHB29","AUS","atp","right-handed"
"A.HOANG","27071","FRA","atp","right-handed"
"A.KARATSEV","ATPKC56","RUS","atp","right-handed"
"A.MANNARINO","13859","FRA","atp","left-handed"
"A.MANNARINO","ATPME82","FRA","atp","left-handed"
"A.MARTIN","ATPMF35","SVK","atp","right-handed"
"A.MULLER","ATPMP20","FRA","atp","right-handed"
"A.MURRAY","10216","GBR","atp","right-handed"
"A.POPYRIN","ATPP09Z","AUS","atp","right-handed"
"A.POPYRIN","36373","AUS","atp","right-handed"
"A.RAMOS-VINOLAS","14065","ESP","atp","left-handed"
"A.RAMOS-VINOLAS","ATPR772","ESP","atp","left-handed"
"A.RINDERKNECH","29969","FRA","atp","right-handed"
"A.RUBLEV","31132","RUS","atp","right-handed"
"A.RUBLEV","ATPRE44","RUS","atp","right-handed"
"A.SEPPI","ATPSA93","ITA","atp","right-handed"
"A.TABILO","ATPTE30","CHI","atp","left-handed"
"A.VUKIC","ATPV832","AUS","atp","right-handed"
"A.ZVEREV","30350","GER","atp","right-handed"
"A.ZVEREV","ATPZ355","GER","atp","right-handed"
"B.CORIC","29171","CRO","atp","right-handed"
"B.CORIC","ATPCG80","CRO","atp","right-handed"
"B.PAIRE","20017","FRA","atp","right-handed"
"B.PAIRE","ATPPD31","FRA","atp","right-handed"
"B.TOMIC","ATPTA46","AUS","atp","right-handed"
"B.VANDEZANDSCHULP","ATPV812","NED","atp",NA
"C.ALCARAZ","44408","ESP","atp","right-handed"
"C.ALCARAZ","ATPA0E2","ESP","atp","right-handed"
"C.EUBANKS","ATPE865","USA","atp","right-handed"
"C.GARIN","ATPGD64","CHI","atp","right-handed"
"C.GARIN","26967","CHI","atp","right-handed"
"C.MOUTET","36358","FRA","atp","left-handed"
"C.MOUTET","ATPMW02","FRA","atp","left-handed"
"C.NORRIE","ATPN771","GBR","atp","left-handed"
"C.NORRIE","28593","GBR","atp","left-handed"
"C.O'CONNELL","ATPO483","AUS","atp","right-handed"
"C.RUUD","36389","NOR","atp","right-handed"
"C.RUUD","ATPRH16","NOR","atp","right-handed"
"C.STEBE","ATPSK94","GER","atp","left-handed"
"D.ALTMAIER","33851","GER","atp","right-handed"
"D.DZUMHUR","ATPD923","BIH","atp","right-handed"
"D.EVANS","ATPE687","GBR","atp","right-handed"
"D.GALAN","29318","COL","atp","right-handed"
"D.GALAN","ATPGE33","COL","atp","right-handed"
"D.GOFFIN","19706","BEL","atp","right-handed"
"D.GOFFIN","ATPGB88","BEL","atp","right-handed"
"D.ISTOMIN","7837","UZB","atp","right-handed"
"D.KOEPFER","ATPKE73","GER","atp","left-handed"
"D.KOEPFER","32094","GER","atp","left-handed"
"D.LAJOVIC","ATPL987","SRB","atp","right-handed"
"D.MEDVEDEV","28836","RUS","atp","right-handed"
"D.MEDVEDEV","ATPMM58","RUS","atp","right-handed"
"D.NOVAK","26311","AUT","atp","right-handed"
"D.NOVAK","ATPDB59","AUT","atp","right-handed"
"D.SCHWARTZMAN","24162","ARG","atp","right-handed"
"D.SCHWARTZMAN","ATPSM37","ARG","atp","right-handed"
"D.SHAPOVALOV","35246","CAN","atp","left-handed"
"D.SHAPOVALOV","ATPSU55","CAN","atp","left-handed"
"D.THIEM","26348","AUT","atp","right-handed"
"D.THIEM","ATPTB69","AUT","atp","right-handed"
"E.BENCHETRIT","36744","FRA","atp","right-handed"
"E.BENCHETRIT","ATPBT68","FRA","atp","right-handed"
"E.COUACAUD","28510","FRA","atp","right-handed"
"E.DONSKOY","ATPD864","RUS","atp","right-handed"
"E.GERASIMOV","24788","BLR","atp","right-handed"
"E.GERASIMOV","ATPGC89","BLR","atp","right-handed"
"E.GULBIS","ATPG858","LAT","atp","right-handed"
"E.RUUSUVUORI","ATPRH24","FIN","atp","right-handed"
"E.YMER","ATPY218","SWE","atp","right-handed"
"F.AUGER-ALIASSIME","ATPAG37","CAN","atp",NA
"F.BAGNIS","18533","ARG","atp","left-handed"
"F.CORIA","ATPCE77","ARG","atp","right-handed"
"F.CORIA","24618","ARG","atp","right-handed"
"F.DELBONIS","ATPD874","ARG","atp","left-handed"
"F.DELBONIS","20304","ARG","atp","left-handed"
"F.FERREIRASILVA","ATPSN54","POR","atp",NA
"F.FOGNINI","9852","ITA","atp","right-handed"
"F.FOGNINI","ATPF510","ITA","atp","right-handed"
"F.KRAJINOVIC","ATPKB05","SRB","atp","right-handed"
"F.KRAJINOVIC","20557","SRB","atp","right-handed"
"F.LOPEZ","ATPL397","ESP","atp","left-handed"
"F.TIAFOE","ATPTD51","USA","atp","right-handed"
"F.VERDASCO","ATPV306","ESP","atp","left-handed"
"G.BARRERE","ATPBK24","FRA","atp","right-handed"
"G.BARRERE","26197","FRA","atp","right-handed"
"G.DIMITROV","19689","BUL","atp","right-handed"
"G.DIMITROV","ATPD875","BUL","atp","right-handed"
"G.MAGER","ATPML57","ITA","atp","right-handed"
"G.MAGER","27258","ITA","atp","right-handed"
"G.MONFILS","9525","FRA","atp","right-handed"
"G.MONFILS","ATPMC65","FRA","atp","right-handed"
"G.PELLA","ATPPC11","ARG","atp","left-handed"
"G.SIMON","7774","FRA","atp","right-handed"
"G.SIMON","ATPSD32","FRA","atp","right-handed"
"H.DELLIEN","ATPDA31","BOL","atp","right-handed"
"H.GASTON","38551","FRA","atp","left-handed"
"H.HURKACZ","ATPHB71","POL","atp","right-handed"
"H.HURKACZ","31976","POL","atp","right-handed"
"H.LAAKSONEN","19041","SUI","atp","right-handed"
"H.LAAKSONEN","ATPL949","SUI","atp","right-handed"
"I.IVASHKA","ATPI305","BLR","atp","right-handed"
"I.KARLOVIC","ATPK336","CRO","atp","right-handed"
"J.CHARDY","11493","FRA","atp","right-handed"
"J.CHARDY","ATPCA12","FRA","atp","right-handed"
"J.DELPOTRO","11713","ARG","atp","right-handed"
"J.DUCKWORTH","ATPD994","AUS","atp","right-handed"
"J.ISNER","ATPI186","USA","atp","right-handed"
"J.ISNER","15820","USA","atp","right-handed"
"J.KOVALIK","ATPKC04","SVK","atp","right-handed"
"J.LONDERO","26285","ARG","atp","right-handed"
"J.LONDERO","ATPLB84","ARG","atp","right-handed"
"J.MILLMAN","19769","AUS","atp","right-handed"
"J.MILLMAN","ATPMH30","AUS","atp","right-handed"
"J.MUNAR","33529","ESP","atp","right-handed"
"J.MUNAR","ATPMU94","ESP","atp","right-handed"
"J.RODIONOV","36384","AUT","atp","left-handed"
"J.SINNER","39723","ITA","atp","right-handed"
"J.SINNER","ATPS0AG","ITA","atp","right-handed"
"J.SMITH","ATPSJ55","AUS","atp","left-handed"
"J.SOCK","25481","USA","atp","right-handed"
"J.SOUSA","ATPSH90","POR","atp","right-handed"
"J.STRUFF","ATPSL28","GER","atp","right-handed"
"J.STRUFF","23386","GER","atp","right-handed"
"J.THOMPSON","ATPTC61","AUS","atp","right-handed"
"J.TSONGA","6291","FRA","atp","right-handed"
"J.TSONGA","ATPT786","FRA","atp","right-handed"
"J.VESELY","ATPV708","CZE","atp","left-handed"
"K.ANDERSON","ATPA678","RSA","atp","right-handed"
"K.COPPEJANS","ATPCG33","BEL","atp","right-handed"
"K.COPPEJANS","26226","BEL","atp","right-handed"
"K.EDMUND","ATPE831","GBR","atp","right-handed"
"K.KHACHANOV","29528","RUS","atp","right-handed"
"K.KHACHANOV","ATPKE29","RUS","atp","right-handed"
"K.MAJCHRZAK","ATPMQ75","POL","atp","right-handed"
"K.NISHIKORI","13059","JPN","atp","right-handed"
"K.NISHIKORI","ATPN552","JPN","atp","right-handed"
"L.DJERE","ATPDB63","SRB","atp","right-handed"
"L.DJERE","28518","SRB","atp","right-handed"
"L.GIUSTINO","ATPGA79","ITA","atp","right-handed"
"L.HARRIS","33462","RSA","atp","right-handed"
"L.HARRIS","ATPHG86","RSA","atp","right-handed"
"L.MAYER","12105","ARG","atp","right-handed"
"L.MAYER","ATPMD56","ARG","atp","right-handed"
"L.MUSETTI","42340","ITA","atp","right-handed"
"L.POUILLE","26325","FRA","atp","right-handed"
"L.SONEGO","35289","ITA","atp","right-handed"
"L.SONEGO","ATPSU87","ITA","atp","right-handed"
"L.TU","ATPTC01","AUS","atp","right-handed"
"M.BERRETTINI","ATPBK40","ITA","atp","right-handed"
"M.BERRETTINI","29046","ITA","atp","right-handed"
"M.CECCHINATO","ATPCF01","ITA","atp","right-handed"
"M.CECCHINATO","24584","ITA","atp","right-handed"
"M.CILIC","11674","CRO","atp","right-handed"
"M.CILIC","ATPC977","CRO","atp","right-handed"
"M.CRESSY","ATPC0BC","USA","atp","right-handed"
"M.FUCSOVICS","22454","HUN","atp","right-handed"
"M.FUCSOVICS","ATPF724","HUN","atp","right-handed"
"M.GIRON","ATPGC88","USA","atp","right-handed"
"M.KECMANOVIC","38353","SRB","atp","right-handed"
"M.KECMANOVIC","ATPKI95","SRB","atp","right-handed"
"M.KLIZAN","15883","SVK","atp","left-handed"
"M.KUKUSHKIN","ATPK926","KAZ","atp","right-handed"
"M.MARTERER","29682","GER","atp","left-handed"
"M.MCDONALD","25127","USA","atp","right-handed"
"M.MCDONALD","ATPMK66","USA","atp","right-handed"
"M.MMOH","ATPMP01","USA","atp","right-handed"
"M.MMOH","31095","USA","atp","right-handed"
"M.POLMANS","ATPPG94","AUS","atp","right-handed"
"M.PURCELL","ATPPH71","AUS","atp","right-handed"
"M.RAONIC","ATPR975","CAN","atp","right-handed"
"M.SAFWAT","ATPSK47","EGY","atp","right-handed"
"M.TORPEGAARD","ATPTC12","DEN","atp","right-handed"
"M.TRUNGELLITI","ATPTA29","ARG","atp","right-handed"
"M.VILELLAMARTINEZ","ATPV824","ESP","atp",NA
"M.YMER","ATPY268","SWE","atp","right-handed"
"M.YMER","33597","SWE","atp","right-handed"
"N.BASILASHVILI","ATPBG23","GEO","atp","right-handed"
"N.DJOKOVIC","9801","SRB","atp","right-handed"
"N.DJOKOVIC","ATPD643","SRB","atp","right-handed"
"N.GOMBOS","22505","SVK","atp","right-handed"
"N.GOMBOS","ATPGB93","SVK","atp","right-handed"
"N.JARRY","32019","CHI","atp","right-handed"
"N.KYRGIOS","ATPKE17","AUS","atp","right-handed"
"O.OTTE","27419","GER","atp","right-handed"
"P.ANDUJAR","ATPA596","ESP","atp","right-handed"
"P.ANDUJAR","9592","ESP","atp","right-handed"
"P.CARRENOBUSTA","21578","ESP","atp","right-handed"
"P.CARRENOBUSTA","ATPCD85","ESP","atp","right-handed"
"P.CUEVAS","9767","URU","atp","right-handed"
"P.CUEVAS","ATPC882","URU","atp","right-handed"
"P.GOJOWCZYK","ATPG967","GER","atp","right-handed"
"P.GOJOWCZYK","15722","GER","atp","right-handed"
"P.GUNNESWARAN","ATPGA94","IND","atp","left-handed"
"P.HERBERT","ATPH996","FRA","atp","right-handed"
"P.HERBERT","21623","FRA","atp","right-handed"
"P.KOHLSCHREIBER","ATPK435","GER","atp","right-handed"
"P.KOHLSCHREIBER","4825","GER","atp","right-handed"
"P.MARTINEZ","ATPMO44","ESP","atp","right-handed"
"P.MARTINEZ","32244","ESP","atp","right-handed"
"P.SOUSA","ATPS483","POR","atp","right-handed"
"Q.HALYS","ATPHB64","FRA","atp","right-handed"
"Q.HALYS","31036","FRA","atp","right-handed"
"R.ALBOT","ATPA829","MDA","atp","right-handed"
"R.BAUTISTAAGUT","13354","ESP","atp","right-handed"
"R.BAUTISTAAGUT","ATPBD06","ESP","atp","right-handed"
"R.BEMELMANS","15156","BEL","atp","left-handed"
"R.BERANKIS","ATPBE90","LTU","atp","right-handed"
"R.BERANKIS","17510","LTU","atp","right-handed"
"R.CARBALLESBAENA","ATPCF59","ESP","atp","right-handed"
"R.CARBALLESBAENA","26219","ESP","atp","right-handed"
"R.FEDERER","2508","SUI","atp","right-handed"
"R.FEDERER","ATPF324","SUI","atp","right-handed"
"R.GASQUET","6083","FRA","atp","right-handed"
"R.HAASE","ATPH756","NED","atp","right-handed"
"R.NADAL","ATPN409","ESP","atp","left-handed"
"R.NADAL","7792","ESP","atp","left-handed"
"R.OLIVO","20782","ARG","atp","right-handed"
"R.OPELKA","ATPO522","USA","atp","right-handed"
"R.OPELKA","32402","USA","atp","right-handed"
"R.SAFIULLIN","33560","RUS","atp","right-handed"
"R.SAFIULLIN","ATPSX50","RUS","atp","right-handed"
"S.BOLELLI","9677","ITA","atp","right-handed"
"S.CARUSO","24574","ITA","atp","right-handed"
"S.CARUSO","ATPCE25","ITA","atp","right-handed"
"S.JOHNSON","ATPJ386","USA","atp","right-handed"
"S.JOHNSON","18972","USA","atp","right-handed"
"S.KORDA","40824","USA","atp","right-handed"
"S.KWON","34679","KOR","atp","right-handed"
"S.KWON","ATPKF17","KOR","atp","right-handed"
"S.NAGAL","ATPN897","IND","atp","right-handed"
"S.QUERREY","ATPQ927","USA","atp","right-handed"
"S.STAKHOVSKY","ATPSC77","UKR","atp","right-handed"
"S.TRAVAGLIA","21066","ITA","atp","right-handed"
"S.TRAVAGLIA","ATPTA12","ITA","atp","right-handed"
