point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
1_1_1_1,1,1,1,1,ATPFB98,ATPO522,ATPO522,DeuceCourt,206.4 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,1.27 Metre,NA,NA,False,False,True,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
1_1_1_2,1,1,1,2,ATPFB98,ATPO522,ATPO522,DeuceCourt,158 KPH,Slice,NA,-11.439,-0.774,2.943,2,Forced Error,NA,False,Ground,BackHand,3.78 Metre,NA,NA,False,False,True,6.053,2.104,0.031,Body,,,,-12.941,2.413,1.004,12.885,1.661,0.035,16.148,4.389,1.392,0.0,3.249,1.045,-5.75,2.937,0.03,1633.74,0,0,0,0,0,0,0,0
1_1_2_1,1,1,2,1,ATPFB98,ATPO522,ATPFB98,AdCourt,197 KPH,NA,NA,-11.333,0.982,2.843,1,Ace,NA,False,NA,ForeHand,1.13 Metre,Cross Court,NA,False,False,True,5.67,-0.077,0.031,T,1.134,-0.0,0.217,-11.333,0.982,2.843,5.67,-0.077,0.031,,,,,,,,,,NA,0,0,0,1,0,0,0,1
1_1_3_1,1,1,3,1,ATPFB98,ATPO522,ATPFB98,DeuceCourt,176 KPH,Slice,NA,-11.306,-0.775,2.84,1,Forced Error,NA,False,NA,ForeHand,1.94 Metre,NA,NA,False,False,True,5.084,3.743,0.034,Wide,1.139,0.0,2.205,13.205,6.399,1.409,-12.84,-2.754,0.036,13.205,6.399,1.409,0.0,1.709,1.938,-12.84,-2.754,0.036,1294.08,0,0,0,0,0,1,1,1
1_1_4_1,1,1,4,1,ATPFB98,ATPO522,ATPO522,AdCourt,139 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,ForeHand,1.48 Metre,NA,NA,False,False,True,8.191,-0.317,0.03,T,,,,,,,8.191,-0.317,0.03,,,,,,,,,,1628.88,1,0,0,0,0,0,2,1
1_1_4_2,1,1,4,2,ATPFB98,ATPO522,ATPO522,AdCourt,139 KPH,Slice,NA,-11.31,1.193,2.922,2,Unforced Error,NA,True,NA,ForeHand,0.33 Metre,NA,Net Error,False,False,True,5.095,-2.629,0.027,Body,1.365,-0.0,-1.675,-8.3,-1.258,0.911,,,,16.217,-4.779,1.343,0.0,-2.3,1.649,-9.972,-1.129,0.035,2506.56,0,0,0,0,0,0,2,1
1_1_5_1,1,1,5,1,ATPFB98,ATPO522,ATPFB98,DeuceCourt,164 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,ForeHand,1.41 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,2,2
1_1_5_2,1,1,5,2,ATPFB98,ATPO522,ATPFB98,DeuceCourt,164 KPH,Slice,NA,-11.473,-0.698,2.943,3,Unforced Error,NA,True,Ground,ForeHand,0.76 Metre,NA,Net Error,False,False,True,6.253,1.59,0.031,Body,1.41,-0.0,0.538,8.728,0.381,1.291,,,,15.93,3.543,1.495,0.0,1.11,2.004,-10.093,-0.668,0.035,2951.7,0,0,0,0,0,0,2,2
1_1_6_1,1,1,6,1,ATPFB98,ATPO522,ATPFB98,AdCourt,192 KPH,Flat,NA,-11.281,1.013,2.882,3,Unforced Error,NA,True,Ground,ForeHand,0.76 Metre,NA,Net Error,False,False,True,6.209,-1.134,0.03,T,1.215,-0.0,-0.455,8.543,-1.07,1.204,0.385,2.711,0.033,14.206,-1.957,1.206,0.0,1.133,1.311,-7.644,3.023,0.03,2250,0,0,0,0,0,0,3,2
1_2_1_1,1,2,1,1,ATPO522,ATPFB98,ATPFB98,DeuceCourt,221.43 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,1.02 Metre,NA,NA,False,False,True,6.434,-0.027,0.031,T,,,,,,,6.434,-0.027,0.031,,,,,,,,,,0,1,0,0,0,0,0,0,0
