point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,ATPKE73,ATPTB69,ATPKE73,DeuceCourt,165 KPH,Pronated,NA,11.375,1.603,2.739,3,Winner,NA,False,Ground,ForeHand,1.58 Metre,Cross Court,NA,False,False,True,-5.657,-1.242,0.03,T,1.169,0.0,-0.42,14.451,1.198,1.633,-9.671,-3.609,0.034,-13.154,-2.117,1.264,-0.0,-0.943,3.261,11.301,0.786,0.03,1735.8,0,0,0,0,0,0,0,0,ATPKE73,ATPTB69,0,0,0,0
1_1_2_1,1,1,2,1,ATPKE73,ATPTB69,ATPKE73,AdCourt,170 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,1.18 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1702.14,1,0,0,0,0,0,1,0,ATPKE73,ATPTB69,0,0,0,0
1_1_2_2,1,1,2,2,ATPKE73,ATPTB69,ATPKE73,AdCourt,170 KPH,Pronated,NA,11.47,-1.593,2.7,3,Forced Error,NA,True,Ground,BackHand,0.83 Metre,NA,NA,False,False,True,-4.996,1.658,0.033,Body,1.184,0.0,0.529,-7.587,5.08,1.498,-0.89,4.981,0.031,-11.142,3.054,1.431,-0.0,0.012,1.929,6.314,-1.569,0.033,0,0,0,0,0,0,0,1,0,ATPKE73,ATPTB69,0,0,0,0
1_1_3_1,1,1,3,1,ATPKE73,ATPTB69,ATPKE73,DeuceCourt,202 KPH,Pronated,NA,11.47,-1.593,2.7,1,Forced Error,NA,False,NA,ForeHand,1.93 Metre,NA,NA,False,False,True,-4.996,1.658,0.033,Body,1.184,0.0,0.529,-11.142,3.054,1.431,6.314,-1.569,0.033,-11.142,3.054,1.431,-0.0,0.012,1.929,6.314,-1.569,0.033,1102.32,0,0,0,0,0,0,2,0,ATPKE73,ATPTB69,0,0,0,0
1_1_4_1,1,1,4,1,ATPKE73,ATPTB69,ATPKE73,AdCourt,173 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,ForeHand,1.04 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,3,0,ATPKE73,ATPTB69,0,0,0,0
1_1_4_2,1,1,4,2,ATPKE73,ATPTB69,ATPKE73,AdCourt,173 KPH,Pronated,NA,11.457,-1.742,2.7,1,Unforced Error,NA,False,NA,ForeHand,3.15 Metre,NA,Long Error,False,False,True,-4.273,1.204,0.029,T,1.036,-0.0,0.248,-11.547,2.827,1.599,12.849,-1.314,0.034,-11.547,2.827,1.599,-0.0,0.785,3.155,12.849,-1.314,0.034,NA,0,0,0,0,0,0,3,0,ATPKE73,ATPTB69,0,0,0,0
1_2_1_1,1,2,1,1,ATPTB69,ATPKE73,ATPTB69,DeuceCourt,198 KPH,Slice,NA,11.317,0.48,2.784,9,Unforced Error,NA,True,Ground,ForeHand,0.87 Metre,NA,Net Error,False,False,True,-5.224,-1.481,0.03,Body,,,,-8.031,-1.653,1.368,-0.363,-3.384,0.036,-13.535,-2.802,1.335,0.0,-1.896,1.391,6.133,-1.318,0.033,3148.2,0,0,0,0,0,0,0,0,ATPKE73,ATPTB69,1,0,0,0
1_2_2_1,1,2,2,1,ATPTB69,ATPKE73,ATPKE73,AdCourt,173 KPH,Slice,NA,11.392,-1.247,2.901,2,Unforced Error,NA,False,Ground,ForeHand,1.76 Metre,NA,Long Error,False,False,True,-5.372,1.095,0.033,T,1.175,0.0,0.465,12.249,-0.014,0.941,-12.429,-1.004,0.033,-13.699,1.863,1.394,-0.0,0.978,1.369,7.719,0.408,0.03,3168.84,0,0,0,0,0,0,1,0,ATPKE73,ATPTB69,1,0,0,0
1_2_3_1,1,2,3,1,ATPTB69,ATPKE73,ATPKE73,DeuceCourt,173.68 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,ForeHand,1.44 Metre,NA,NA,False,False,True,-4.562,-4.501,0.03,Wide,,,,,,,-4.562,-4.501,0.03,,,,,,,,,,1214.04,1,0,0,0,0,0,1,1,ATPKE73,ATPTB69,1,0,0,0
1_2_3_2,1,2,3,2,ATPTB69,ATPKE73,ATPKE73,DeuceCourt,160 KPH,NA,NA,,,,16,Unforced Error,NA,False,Ground,ForeHand,1.88 Metre,NA,Long Error,False,False,True,,,,,,,,13.266,2.874,1.126,-12.885,3.865,0.034,12.964,4.253,0.897,0.0,2.565,2.004,-8.735,1.421,0.033,2522.58,0,0,0,0,0,0,1,1,ATPKE73,ATPTB69,1,0,0,0
1_2_4_1,1,2,4,1,ATPTB69,ATPKE73,ATPTB69,AdCourt,160 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,1.11 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1659.18,1,0,0,0,0,0,1,2,ATPKE73,ATPTB69,1,0,0,0
1_2_4_2,1,2,4,2,ATPTB69,ATPKE73,ATPTB69,AdCourt,160 KPH,Slice,NA,11.311,-1.416,2.833,3,Unforced Error,NA,False,Ground,BackHand,2.46 Metre,NA,Long Error,False,False,True,-4.164,2.951,0.032,Wide,1.111,-0.0,1.95,-15.235,-3.591,1.233,12.324,3.208,0.033,-16.336,5.887,1.519,-0.0,2.221,2.081,10.083,0.472,0.031,1618.68,0,0,0,0,0,0,1,2,ATPKE73,ATPTB69,1,0,0,0
1_2_5_1,1,2,5,1,ATPTB69,ATPKE73,ATPTB69,DeuceCourt,180 KPH,Kick,NA,11.472,0.366,2.863,1,Forced Error,NA,False,NA,BackHand,3.74 Metre,NA,NA,False,False,True,-4.969,-3.642,0.032,Wide,1.166,0.0,-2.231,-13.007,-6.188,1.604,12.885,0.904,0.03,-13.007,-6.188,1.604,0.0,-2.759,3.738,12.885,0.904,0.03,1329.48,0,0,0,0,0,0,2,2,ATPKE73,ATPTB69,1,0,0,0
