point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,7792,2508,2508,DeuceCourt,177 KPH,NA,NA,,,,10,Forced Error,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,7792,2508,0,0,0,0
1_1_2_1,1,1,2,1,7792,2508,7792,AdCourt,174 KPH,NA,NA,,,,1,Forced Error,NA,False,NA,BackHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,7792,2508,0,0,0,0
1_1_3_1,1,1,3,1,7792,2508,7792,DeuceCourt,176 KPH,Unclassified,NA,-11.513,-0.411,2.887,5,Unforced Error,NA,False,Ground,BackHand,1.89 Metre,NA,NA,False,False,True,5.052,0.59,0.039,T,1.132,0.0,0.443,13.267,-4.656,0.961,0.074,1.385,0.037,11.74,0.702,1.261,0.0,0.787,0.989,-5.679,0.715,0.034,3108.53,0,0,0,0,0,0,1,1,7792,2508,0,0,0,0
1_1_4_1,1,1,4,1,7792,2508,7792,AdCourt,170.7 KPH,Unclassified,0.9 Metre,-11.643,0.915,2.928,0,Faulty Serve,NA,True,NA,BackHand,0.97 Metre,NA,NA,False,False,True,-0.903,-2.948,0.034,Wide,0.974,0.0,-2.336,-11.643,0.915,2.928,-0.903,-2.948,0.034,,,,,,,,,,0,1,0,0,0,0,0,2,1,7792,2508,0,0,0,0
1_1_4_2,1,1,4,2,7792,2508,2508,AdCourt,149 KPH,Pronated,NA,-11.635,0.927,2.928,4,Unforced Error,NA,False,Ground,BackHand,3.36 Metre,NA,NA,False,False,True,4.306,-2.952,0.032,Wide,1.125,0.0,-1.614,14.677,-1.639,1.246,11.237,-0.135,0.035,10.498,-4.757,1.319,0.0,-3.482,1.235,-8.34,-2.863,0.032,NA,0,0,0,0,0,0,2,1,7792,2508,0,0,0,0
1_1_5_1,1,1,5,1,7792,2508,2508,DeuceCourt,187.57 KPH,Unclassified,0.64 Metre,-11.467,-0.459,2.866,0,Faulty Serve,NA,True,NA,BackHand,3.36 Metre,NA,NA,False,False,True,-0.636,0.601,0.043,T,,,,-11.467,-0.459,2.866,-0.636,0.601,0.043,,,,,,,,,,0,1,0,0,0,0,0,2,2,7792,2508,0,0,0,0
1_1_5_2,1,1,5,2,7792,2508,2508,DeuceCourt,144 KPH,Slice,NA,-11.525,-0.498,2.926,4,Winner,NA,False,Ground,BackHand,1.36 Metre,Cross Court,NA,False,False,True,4.793,0.106,0.037,T,1.272,0.0,0.219,10.507,-5.299,1.315,-5.029,3.513,0.034,15.17,0.12,1.322,0.0,1.93,2.373,-8.742,2.834,0.034,3101.03,0,0,0,0,0,0,2,2,7792,2508,0,0,0,0
1_1_6_1,1,1,6,1,7792,2508,7792,AdCourt,164 KPH,Unclassified,NA,-11.586,0.81,2.901,1,Forced Error,NA,False,NA,BackHand,0.95 Metre,NA,NA,True,False,True,4.082,-3.884,0.032,Wide,1.049,0.0,-2.432,11.482,-6.435,1.432,0.058,-1.584,0.035,11.482,-6.435,1.432,0.0,-1.76,0.951,0.058,-1.584,0.035,NA,0,0,0,0,0,0,2,3,7792,2508,0,0,0,0
1_1_7_1,1,1,7,1,7792,2508,7792,DeuceCourt,174 KPH,Unclassified,NA,-11.539,-0.409,2.891,1,Forced Error,NA,True,NA,BackHand,0.74 Metre,NA,NA,False,False,True,4.138,1.042,0.035,T,1.018,0.0,0.789,12.359,1.467,1.163,0.592,-0.51,0.048,12.359,1.467,1.163,0.0,-0.189,0.742,0.592,-0.51,0.048,1028.09,0,0,0,0,0,0,3,3,7792,2508,0,0,0,0
1_1_8_1,1,1,8,1,7792,2508,2508,AdCourt,177 KPH,Pronated,NA,-11.404,0.885,2.835,8,Winner,NA,False,Overhead,ForeHand,1.48 Metre,Down the Line,NA,False,False,True,4.865,-3.677,0.03,Wide,1.107,0.0,-2.12,4.326,-1.533,2.806,-4.315,-2.532,0.043,11.839,-5.975,1.119,0.0,-0.672,1.843,-9.589,3.405,0.035,NA,0,0,0,0,0,0,4,3,7792,2508,0,0,0,0
