point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,21648-22962,24145-5023,21648-22962,DeuceCourt,182 KPH,NA,NA,,,,1,NA,NA,False,NA,BackHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,21648-22962,24145-5023,0,0,0,0
1_1_2_1,1,1,2,1,21648-22962,24145-5023,21648-22962,AdCourt,0 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,21648-22962,24145-5023,0,0,0,0
1_1_2_2,1,1,2,2,21648-22962,24145-5023,21648-22962,AdCourt,161 KPH,NA,NA,,,,1,NA,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,21648-22962,24145-5023,0,0,0,0
1_1_3_1,1,1,3,1,21648-22962,24145-5023,21648-22962,DeuceCourt,0 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,2,0,21648-22962,24145-5023,0,0,0,0
1_1_3_2,1,1,3,2,21648-22962,24145-5023,21648-22962,DeuceCourt,171 KPH,NA,NA,,,,3,NA,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,0,21648-22962,24145-5023,0,0,0,0
1_1_4_1,1,1,4,1,21648-22962,24145-5023,21648-22962,AdCourt,196 KPH,NA,NA,,,,3,NA,NA,False,NA,BackHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,0,21648-22962,24145-5023,0,0,0,0
1_2_1_1,1,2,1,1,24145-5023,21648-22962,,DeuceCourt,0 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,21648-22962,24145-5023,1,0,0,0
1_2_1_2,1,2,1,2,24145-5023,21648-22962,24145-5023,DeuceCourt,157 KPH,NA,NA,,,,3,NA,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,21648-22962,24145-5023,1,0,0,0
1_2_2_1,1,2,2,1,24145-5023,21648-22962,24145-5023,AdCourt,0 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,21648-22962,24145-5023,1,0,0,0
1_2_2_2,1,2,2,2,24145-5023,21648-22962,24145-5023,AdCourt,167 KPH,NA,NA,,,,3,NA,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,21648-22962,24145-5023,1,0,0,0
