point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
1_1_1_1,1,1,1,1,33851,15156,33851,DeuceCourt,0 KPH,NA,NA,,,,0,Forced Error,NA,False,NA,BackHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
1_1_1_2,1,1,1,2,15156,33851,15156,DeuceCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
1_1_2_1,1,1,2,1,33851,15156,33851,AdCourt,0 KPH,NA,NA,,,,0,Winner,NA,False,NA,BackHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0
1_1_2_2,1,1,2,2,15156,33851,33851,AdCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0
1_1_3_1,1,1,3,1,33851,15156,15156,DeuceCourt,0 KPH,NA,NA,,,,0,Forced Error,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1
1_1_4_1,1,1,4,1,33851,15156,33851,AdCourt,0 KPH,NA,NA,,,,0,Forced Error,NA,False,NA,BackHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,2
1_1_4_2,1,1,4,2,15156,33851,15156,AdCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,2
1_1_5_1,1,1,5,1,33851,15156,33851,DeuceCourt,NA,NA,NA,,,,0,Ace,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,2,2
1_2_1_2,1,2,1,2,15156,33851,33851,DeuceCourt,0 KPH,NA,NA,,,,0,Winner,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0
1_2_2_1,1,2,2,1,33851,15156,33851,AdCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1
1_2_2_2,1,2,2,2,15156,33851,15156,AdCourt,0 KPH,NA,NA,,,,0,Unforced Error,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
1_2_3_1,1,2,3,1,15156,33851,33851,DeuceCourt,0 KPH,NA,NA,,,,0,Forced Error,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,1
1_2_3_2,1,2,3,2,33851,15156,33851,DeuceCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1
1_2_4_1,1,2,4,1,15156,33851,33851,AdCourt,0 KPH,NA,NA,,,,0,Forced Error,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1
1_2_5_2,1,2,5,2,15156,33851,33851,DeuceCourt,0 KPH,NA,NA,,,,0,Unforced Error,NA,False,NA,ForeHand,0 Metre,NA,NA,True,True,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,2
1_3_1_1,1,3,1,1,33851,15156,33851,DeuceCourt,0 KPH,NA,NA,,,,0,Unforced Error,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
1_3_2_1,1,3,2,1,33851,15156,33851,AdCourt,NA,NA,NA,,,,0,Ace,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,1,0
1_3_2_2,1,3,2,2,15156,33851,33851,AdCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0
1_3_3_1,1,3,3,1,15156,33851,33851,DeuceCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,1
1_3_3_2,1,3,3,2,33851,15156,33851,DeuceCourt,0 KPH,NA,NA,,,,0,Winner,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1
1_3_4_1,1,3,4,1,33851,15156,33851,AdCourt,NA,NA,NA,,,,0,Ace,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,2,1
1_3_5_1,1,3,5,1,15156,33851,33851,DeuceCourt,0 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,3,1
1_3_5_2,1,3,5,2,15156,33851,15156,DeuceCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,1
1_3_6_1,1,3,6,1,15156,33851,15156,AdCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,4,1
1_3_7_1,1,3,7,1,15156,33851,15156,DeuceCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5,1
1_3_8_1,1,3,8,1,15156,33851,15156,AdCourt,0 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,6,1
1_3_8_2,1,3,8,2,15156,33851,33851,AdCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,6,1
1_3_9_1,1,3,9,1,15156,33851,15156,DeuceCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,6,2
1_3_10_2,1,3,10,2,15156,33851,15156,AdCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,7,2
1_4_1_2,1,4,1,2,15156,33851,33851,DeuceCourt,0 KPH,NA,NA,,,,0,Unforced Error,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
1_4_2_1,1,4,2,1,15156,33851,33851,AdCourt,0 KPH,NA,NA,,,,0,Unforced Error,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1
1_4_2_2,1,4,2,2,33851,15156,15156,AdCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
1_4_3_1,1,4,3,1,33851,15156,33851,DeuceCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,2
1_4_3_2,1,4,3,2,15156,33851,15156,DeuceCourt,0 KPH,NA,NA,,,,0,Unforced Error,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2
1_4_4_1,1,4,4,1,15156,33851,15156,AdCourt,0 KPH,NA,NA,,,,0,Unforced Error,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,2
1_4_5_1,1,4,5,1,15156,33851,15156,DeuceCourt,0 KPH,NA,NA,,,,0,Winner,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,2
1_4_6_2,1,4,6,2,15156,33851,15156,AdCourt,0 KPH,NA,NA,,,,0,Winner,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,2
1_4_7_1,1,4,7,1,33851,15156,33851,DeuceCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,4,2
1_4_8_2,1,4,8,2,33851,15156,33851,AdCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5,2
1_5_1_1,1,5,1,1,33851,15156,15156,DeuceCourt,0 KPH,NA,NA,,,,0,Unforced Error,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
1_5_2_1,1,5,2,1,33851,15156,15156,AdCourt,0 KPH,NA,NA,,,,0,Unforced Error,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
1_5_3_1,1,5,3,1,33851,15156,33851,DeuceCourt,0 KPH,NA,NA,,,,0,Winner,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2
1_5_4_2,1,5,4,2,33851,15156,33851,AdCourt,0 KPH,NA,NA,,,,0,Winner,NA,False,NA,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,2
1_5_5_1,1,5,5,1,33851,15156,33851,DeuceCourt,0 KPH,NA,NA,,,,0,Forced Error,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,2,2
1_5_5_2,1,5,5,2,15156,33851,15156,DeuceCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,2
