point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
1_1_1_1,1,1,1,1,27419,30350,27419,DeuceCourt,197 KPH,Flat,NA,-11.2019997,-1.45000005,2.84100008,1,Forced Error,NA,True,NA,BackHand,0.37 Metre,NA,NA,False,False,True,5.37699986,0.587000012,0.0379999988,T,1.08899999,-0.0,-0.123000003,16.9990005,2.21799994,1.15600002,,,,,,,,,,,,,1397.46,0,0,0,0,0,0,0,0
1_1_2_1,1,1,2,1,27419,30350,27419,AdCourt,191 KPH,Flat,NA,-11.1619997,1.40100002,2.84500003,3,Forced Error,NA,True,Ground,ForeHand,0.92 Metre,NA,NA,False,False,True,5.77299976,-3.33699989,0.0299999993,Wide,,,,15.632,2.62299991,1.11000001,0.136000007,0.556999981,0.0390000008,15.8769999,-6.0619998,1.17499995,0.0,-2.49799991,1.86699998,-9.38700008,-0.331,0.0329999998,2866.38,0,0,0,0,0,0,1,0
1_1_3_1,1,1,3,1,27419,30350,30350,DeuceCourt,0 KPH,NA,NA,-11.3520002,-1.46500003,2.89599991,0,Faulty Serve,NA,True,Overhead,BackHand,NA,NA,NA,False,False,True,,,,,,,,-11.3520002,-1.46500003,2.89599991,,,,,,,,,,,,,0,1,0,0,0,0,0,2,0
1_1_3_2,1,1,3,2,27419,30350,30350,DeuceCourt,138.25 KPH,Pronated,NA,-11.4300003,-1.20899999,2.77600002,0,DoubleFault,NA,False,NA,BackHand,1.82 Metre,NA,NA,False,False,True,7.20800018,1.39199996,0.0439999998,Body,,,,-11.4300003,-1.20899999,2.77600002,7.20800018,1.39199996,0.0439999998,,,,,,,,,,2089.38,1,1,0,0,0,0,2,0
1_1_4_1,1,1,4,1,27419,30350,27419,AdCourt,195 KPH,Flat,NA,-11.0469999,1.37399995,2.87100005,3,Winner,NA,False,Overhead,ForeHand,1.35 Metre,Cross Court,NA,False,False,True,5.68599987,-0.109999999,0.0410000011,T,1.13999999,-0.0,0.335999995,-9.125,-1.77499998,2.852,6.24100018,1.38999999,0.0439999998,16.8369999,-0.931999981,1.45899999,0.0,-1.23699999,14.2620001,-7.49800014,-1.63800001,0.0320000015,NA,0,0,0,0,1,0,2,1
1_1_5_1,1,1,5,1,27419,30350,30350,DeuceCourt,202 KPH,NA,NA,-11.1990004,-1.49699998,2.81299996,10,Unforced Error,NA,True,Ground,BackHand,0.74 Metre,NA,Net Error,False,False,True,,,,,,,,-9.53199959,4.5250001,1.44400001,-0.252999991,0.0299999993,0.0390000008,17.5669994,1.86000001,1.23199999,0.0,-1.14400005,2.52600002,7.64799976,3.14700007,0.0379999988,1505.28,0,0,0,0,0,0,3,1
1_1_6_1,1,1,6,1,27419,30350,27419,AdCourt,188 KPH,Flat,NA,-11.1339998,1.38300002,2.88400006,3,Winner,NA,False,Ground,ForeHand,1.32 Metre,Cross Court,NA,False,False,True,4.8579998,-3.45300007,0.0379999988,Wide,,,,-9.67000008,2.10700011,1.204,8.55000019,-2.23699999,0.0320000015,15.8140001,-6.65199995,1.50300002,-0.0,-1.16900003,1.36099994,-5.4460001,0.643999994,0.0379999988,2813.76,0,0,0,0,0,0,3,2
1_2_1_1,1,2,1,1,30350,27419,30350,DeuceCourt,216 KPH,Pronated,NA,-11.21,-0.704999983,3.00999999,3,Winner,NA,False,Ground,ForeHand,1.07 Metre,Cross Court,NA,False,False,True,5.75699997,0.675999999,0.0469999984,T,,,,-9.94699955,0.504000008,1.44700003,6.41099977,-2.30299997,0.0350000001,14.8940001,1.41199994,1.42299998,0.0,0.870000005,1.99899995,-6.29799986,0.629000008,0.0390000008,2951.52,0,0,0,0,0,0,0,0
1_2_2_1,1,2,2,1,30350,27419,30350,AdCourt,220.71 KPH,NA,3.46 Metre,-11.1379995,0.769999981,2.98399997,0,Faulty Serve,Net Error,True,NA,BackHand,0.91 Metre,NA,Net Error,False,False,True,-3.45900011,-3.83899999,0.0450000018,Wide,,,,-11.1379995,0.769999981,2.98399997,-3.45900011,-3.83899999,0.0450000018,,,,,,,,,,0,1,0,0,0,0,0,1,0
1_2_2_2,1,2,2,2,30350,27419,30350,AdCourt,152 KPH,Kick,NA,-11.375,0.556999981,3.03800011,3,Winner,NA,False,Ground,BackHand,1.08 Metre,Down the Line,NA,False,False,True,4.57200003,-3.33400011,0.0399999991,Wide,1.23000002,0.0,-2.40300012,-11.6759996,1.58599997,0.70599997,8.17199993,3.2019999,0.0379999988,10.3900003,-4.73199987,1.61800003,-0.0,-1.676,1.48899996,-8.87300014,0.815999985,0.0390000008,1073.46,0,0,0,0,0,0,1,0
1_2_3_1,1,2,3,1,30350,27419,30350,DeuceCourt,203.51 KPH,NA,NA,-11.3280001,-0.843999982,3.05800009,0,Faulty Serve,NA,True,NA,BackHand,0.85 Metre,NA,NA,False,False,True,,,,,0.847000003,0.0,1.76100004,-11.3280001,-0.843999982,3.05800009,,,,,,,,,,,,,NA,1,0,0,0,0,0,2,0
1_2_3_2,1,2,3,2,30350,27419,30350,DeuceCourt,172 KPH,Pronated,NA,-11.3549995,-0.73299998,3.04699993,1,Forced Error,NA,False,NA,BackHand,2.66 Metre,NA,NA,False,False,True,4.71099997,0.259000003,0.0419999994,T,1.20000005,0.0,-0.155000001,11.5,0.663999975,1.74399996,-12.885,-0.100000001,0.0329999998,11.5,0.663999975,1.74399996,0.0,0.310000002,2.66300011,-12.885,-0.100000001,0.0329999998,1124.52,0,0,0,0,0,0,2,0
1_2_4_1,1,2,4,1,30350,27419,30350,AdCourt,206 KPH,Flat,NA,-11.1409998,0.674000025,2.97900009,1,Forced Error,NA,False,Ground,ForeHand,3.36 Metre,NA,NA,False,False,True,4.76300001,-0.963,0.0419999994,T,1.04299998,-0.0,-0.514999986,14.7320004,-1.78900003,1.46300006,-10.6450005,5.10500002,0.0189999994,14.7320004,-1.78900003,1.46300006,0.0,1.82200003,3.35899997,-10.6450005,5.10500002,0.0189999994,1389.96,0,0,0,0,0,0,3,0
