point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,WTA315030,WTA316925,WTA316925,DeuceCourt,0 KPH,NA,0.09 Metre,11.431,1.892,2.834,1,Faulty Serve,Net Error,True,NA,NA,0.88 Metre,NA,Net Error,False,False,True,0.091,-0.298,0.031,T,0.877,0.0,-0.269,11.431,1.892,2.834,0.091,-0.298,0.031,,,,,,,,,,0,1,0,0,0,0,0,0,0,WTA315030,WTA316925,0,0,0,0
1_1_1_2,1,1,1,2,WTA315030,WTA316925,WTA316925,DeuceCourt,130 KPH,NA,NA,11.331,1.999,2.75,0,DoubleFault,NA,False,NA,BackHand,0.92 Metre,NA,NA,False,False,True,1.235,-2.012,0.032,Body,0.921,0.0,-1.225,11.331,1.999,2.75,1.235,-2.012,0.032,,,,,,,,,,0,1,1,0,0,0,0,0,0,WTA315030,WTA316925,0,0,0,0
1_1_2_1,1,1,2,1,WTA315030,WTA316925,,AdCourt,0 KPH,Flat,0.83 Metre,11.494,-0.764,2.726,2,Faulty Serve,Long Error,False,NA,ForeHand,1.64 Metre,NA,NA,False,False,True,7.234,-2.714,0.031,Body,1.376,0.0,1.955,-11.022,4.413,0.866,7.234,-2.714,0.031,-11.022,4.413,0.866,0.0,0.19,1.637,7.234,-2.714,0.031,1468.52,1,0,0,0,1,0,0,1,WTA315030,WTA316925,0,0,0,0
1_1_2_2,1,1,2,2,WTA315030,WTA316925,WTA316925,AdCourt,143 KPH,Slice,NA,11.546,-0.617,2.741,2,Unforced Error,NA,False,Ground,ForeHand,2.54 Metre,NA,Wide Error,False,False,True,-5.128,1.03,0.032,T,1.193,0.0,0.68,12.111,1.15,0.494,-9.391,-4.615,0.033,-11.505,1.248,1.235,0.0,1.325,1.731,10.672,1.155,0.041,1927.55,0,0,0,0,0,0,0,1,WTA315030,WTA316925,0,0,0,0
1_1_3_1,1,1,3,1,WTA315030,WTA316925,WTA316925,DeuceCourt,0 KPH,Flat,0.49 Metre,11.469,1.804,2.751,2,Faulty Serve,Long Error,False,NA,ForeHand,1.34 Metre,NA,NA,False,False,True,-6.89,-0.173,0.032,T,1.342,0.0,0.581,11.469,1.804,2.751,-6.89,-0.173,0.032,,,,,,,,,,0,1,0,0,0,0,0,0,2,WTA315030,WTA316925,0,0,0,0
1_1_3_2,1,1,3,2,WTA315030,WTA316925,WTA316925,DeuceCourt,145 KPH,Slice,NA,11.608,1.815,2.759,2,Unforced Error,NA,False,Ground,ForeHand,1.37 Metre,NA,NA,False,False,True,-6.364,-1.393,0.03,Body,1.36,0.0,-0.09,12.514,2.193,0.685,0.301,1.73,0.031,-11.634,-2.658,0.973,0.0,-1.44,1.45,8.872,-0.571,0.03,2275.97,0,0,0,0,0,0,0,2,WTA315030,WTA316925,0,0,0,0
1_1_4_1,1,1,4,1,WTA315030,WTA316925,WTA316925,AdCourt,161 KPH,Flat,NA,11.491,-0.569,2.705,2,Forced Error,NA,False,Ground,BackHand,1.39 Metre,NA,NA,True,True,True,-4.322,1.588,0.031,Body,0.966,0.0,1.001,-12.628,-2.643,0.906,7.643,-3.219,0.035,-11.392,2.501,1.165,0.0,0.283,3.038,11.575,-2.341,0.034,2022.8,0,0,0,0,0,0,0,3,WTA315030,WTA316925,0,0,0,0
1_2_1_1,1,2,1,1,WTA316925,WTA315030,WTA316925,DeuceCourt,147 KPH,Slice,NA,11.375,1.396,2.695,1,Forced Error,NA,False,NA,ForeHand,1.77 Metre,NA,NA,False,False,True,-5.85,-3.658,0.032,Wide,1.28,0.0,-1.776,11.331,-1.638,0.826,-6.173,-0.364,0.031,-11.63,-5.727,1.127,0.0,-3.739,1.679,12.184,-1.861,0.034,978.92,0,0,0,0,0,0,0,0,WTA315030,WTA316925,0,1,0,0
1_2_2_1,1,2,2,1,WTA316925,WTA315030,WTA316925,AdCourt,0 KPH,Pronated,6.5 Metre,11.384,-0.586,2.767,2,Faulty Serve,Long Error,True,NA,BackHand,NA,NA,Net Error,False,False,True,-12.885,4.615,0.035,Wide,1.065,0.0,3.087,-18.273,9.238,0.235,-12.885,4.615,0.035,-18.273,9.238,0.235,0.0,2.421,-16.601,-12.885,4.615,0.035,1731.59,1,0,0,0,0,0,1,0,WTA315030,WTA316925,0,1,0,0
1_2_2_2,1,2,2,2,WTA316925,WTA315030,WTA315030,AdCourt,125 KPH,Slice,NA,11.543,-0.996,2.706,2,Unforced Error,NA,True,Ground,BackHand,0.7 Metre,NA,Net Error,False,False,True,-4.951,2.164,0.034,Body,1.324,0.0,1.464,12.429,-4.019,0.718,0.482,1.24,0.03,-11.578,3.161,1.417,0.0,-0.42,1.736,9.704,-3.311,0.035,1730.65,0,0,0,0,0,0,1,0,WTA315030,WTA316925,0,1,0,0
