point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
NA,1,1,1,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0
1_1_1_2,1,1,1,2,WTA311470,WTA317708,WTA317708,DeuceCourt,125 KPH,Flat,NA,12.844,2.934,0.976,6,Unforced Error,NA,False,Ground,ForeHand,2.44 Metre,NA,Long Error,False,False,True,-7.236,0.635,0.032,T,1.382,0.0,1.356,13.406,-3.089,0.763,-12.885,2.208,0.036,-12.229,0.017,0.878,0.0,-0.988,1.57,10.75,-1.994,0.034,1627.68,0,0,0,0,0,0,0,0
1_1_2_1,1,1,2,1,WTA311470,WTA317708,WTA311470,AdCourt,148 KPH,Pronated,NA,11.505,-1.326,2.668,1,Forced Error,NA,True,NA,ForeHand,0.18 Metre,NA,NA,False,False,True,-4.221,3.419,0.032,Wide,,,,-9.39,4.991,1.193,,,,,,,,,,,,,NA,0,0,0,0,0,0,0,1
1_1_3_1,1,1,3,1,WTA311470,WTA317708,WTA317708,DeuceCourt,141 KPH,Pronated,NA,11.309,1.126,2.657,8,Winner,NA,False,Lob,ForeHand,NA,NA,NA,False,False,True,-5.583,-2.408,0.031,Body,,,,-10.989,-0.328,1.788,,,,-12.382,-3.76,1.062,-0.0,0.022,1.371,7.4,2.18,0.034,0,0,0,0,0,0,0,1,1
1_1_4_1,1,1,4,1,WTA311470,WTA317708,WTA311470,AdCourt,149 KPH,Pronated,NA,11.378,-1.539,2.625,5,Unforced Error,NA,True,Ground,BackHand,0.9 Metre,NA,Net Error,False,False,True,-5.438,1.825,0.032,Body,,,,-6.178,-3.377,1.228,-0.319,-1.408,0.03,-12.395,3.603,1.116,-0.0,1.722,0.98,6.241,0.776,0.031,1008,0,0,0,0,0,0,1,2
1_1_5_1,1,1,5,1,WTA311470,WTA317708,WTA317708,DeuceCourt,150 KPH,Pronated,NA,11.335,1.026,2.607,4,Winner,NA,False,Ground,ForeHand,1.19 Metre,Cross Court,NA,False,False,True,-4.405,-0.921,0.029,T,,,,-12.535,0.366,1.417,8.54,-2.336,0.033,-12.388,-1.612,1.083,0.0,-0.837,1.97,11.164,0.035,0.032,1411.44,0,0,0,0,0,0,2,2
1_1_6_1,1,1,6,1,WTA311470,WTA317708,WTA317708,AdCourt,138 KPH,Pronated,NA,11.415,-1.734,2.658,6,Forced Error,NA,True,Ground,BackHand,0.9 Metre,NA,NA,True,True,True,-5.606,1.382,0.033,Body,,,,6.241,1.581,1.454,0.188,-0.051,0.03,-12.409,2.965,1.106,0.0,2.037,1.844,10.169,1.313,0.032,988.68,0,0,0,0,0,0,2,3
NA,1,2,1,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0
1_2_1_2,1,2,1,2,WTA317708,WTA311470,WTA317708,DeuceCourt,136 KPH,Pronated,NA,11.707,1.731,2.795,1,Unforced Error,NA,False,NA,BackHand,2.55 Metre,NA,Long Error,False,False,True,-4.165,-2.329,0.029,Body,,,,-13.484,-4.074,1.235,11.981,0.001,0.032,-13.484,-4.074,1.235,-0.0,-1.567,2.548,11.981,0.001,0.032,1398.54,0,0,0,0,0,0,0,0
1_2_2_1,1,2,2,1,WTA317708,WTA311470,WTA311470,AdCourt,153 KPH,Pronated,NA,11.695,-1.691,2.844,8,Unforced Error,NA,True,Ground,ForeHand,0.79 Metre,NA,Net Error,False,False,True,-5.666,2.198,0.032,Body,,,,7.726,0.231,1.382,0.422,3.054,0.034,-13.164,4.493,1.086,0.0,1.541,1.884,9.905,-0.496,0.032,2577.54,0,0,0,0,0,0,1,0
