point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,21766-19921,17955-24352,21766-19921,DeuceCourt,0 KPH,Kick,NA,-11.604,-2.599,2.721,0,NA,NA,False,NA,BackHand,2.53 Metre,NA,NA,False,False,True,4.767,2.556,0.038,Body,1.114,0.0,0.916,-13.249,-4.713,0.985,11.246,-4.618,0.031,11.725,4.897,1.386,0.0,0.594,1.597,-9.174,-2.754,0.029,2527.63,0,0,0,0,0,0,0,0,21766-19921,17955-24352,0,0,0,0
1_1_2_1,1,1,2,1,21766-19921,17955-24352,21766-19921,AdCourt,149 KPH,Slice,NA,-11.626,3.314,2.742,7,NA,NA,False,NA,BackHand,1.68 Metre,NA,NA,False,False,True,5.318,-1.917,0.034,Body,1.196,0.0,-0.39,14.445,-5.224,1.286,-7.199,-6.255,0.03,13.415,-4.242,1.248,0.0,-0.668,2.105,5.574,1.469,0.042,1321.27,0,0,0,0,0,0,1,0,21766-19921,17955-24352,0,0,0,0
1_1_3_1,1,1,3,1,21766-19921,17955-24352,21766-19921,DeuceCourt,0 KPH,Flat,NA,-11.556,-2.434,2.632,0,Ace,NA,False,NA,ForeHand,1.31 Metre,Cross Court,NA,False,False,True,6.303,0.18,0.037,T,1.311,0.0,-0.811,-11.556,-2.434,2.632,6.303,0.18,0.037,,,,,,,,,,0,0,0,0,1,0,0,2,0,21766-19921,17955-24352,0,0,0,0
1_1_4_1,1,1,4,1,21766-19921,17955-24352,21766-19921,AdCourt,184.29 KPH,Pronated,0.44 Metre,-11.394,3.288,2.716,0,Faulty Serve,NA,False,NA,BackHand,1.15 Metre,Cross Court,NA,False,False,True,5.095,-4.56,0.03,Wide,1.145,0.0,-2.18,-11.394,3.288,2.716,5.095,-4.56,0.03,,,,,,,,,,0,1,0,0,0,0,1,3,0,21766-19921,17955-24352,0,0,0,0
1_1_4_2,1,1,4,2,21766-19921,17955-24352,17955-24352,AdCourt,0 KPH,Unclassified,NA,-11.725,3.505,2.776,0,NA,NA,False,NA,BackHand,1.02 Metre,NA,NA,False,False,True,3.77,-2.009,0.034,Body,1.164,0.0,-0.857,1.804,0.019,1.292,-4.219,-0.723,0.044,10.949,-4.58,1.601,0.0,-0.342,1.182,-5.84,1.601,0.035,793.11,0,0,0,0,0,0,3,0,21766-19921,17955-24352,0,0,0,0
1_1_5_1,1,1,5,1,21766-19921,17955-24352,21766-19921,DeuceCourt,158 KPH,Pronated,NA,-11.377,-2.728,2.654,3,NA,NA,False,NA,BackHand,1.19 Metre,NA,NA,False,False,True,4.669,3.198,0.038,Wide,1.103,0.0,1.29,-2.065,0.692,1.796,3.496,0.983,0.035,11.52,5.819,1.455,0.0,1.47,2.014,3.496,0.983,0.035,NA,0,0,0,0,0,0,3,1,21766-19921,17955-24352,0,0,0,0
1_2_1_1,1,2,1,1,17955-24352,21766-19921,17955-24352,DeuceCourt,155 KPH,Unclassified,NA,-11.463,-2.354,2.953,3,NA,NA,False,NA,BackHand,1.15 Metre,NA,NA,False,False,True,5.694,1.364,0.041,T,1.295,0.0,0.059,-0.906,-0.549,1.64,1.881,-2.086,0.025,13.087,3.02,1.165,0.0,-0.296,1.731,1.881,-2.086,0.025,NA,0,0,0,0,0,0,0,0,21766-19921,17955-24352,1,0,0,0
1_2_2_1,1,2,2,1,17955-24352,21766-19921,17955-24352,AdCourt,0 KPH,Kick,NA,-11.57,2.183,2.947,0,NA,NA,False,NA,BackHand,NA,NA,NA,False,False,True,5.331,-0.713,0.041,T,1.241,0.0,0.117,15.186,-5.717,1.492,-12.694,4.611,0.035,14.811,-2.195,1.339,0.0,1.872,1.448,-5.208,3.353,0.035,3185.27,0,0,0,0,0,0,1,0,21766-19921,17955-24352,1,0,0,0
1_2_3_1,1,2,3,1,17955-24352,21766-19921,21766-19921,DeuceCourt,163 KPH,Flat,NA,-11.524,-2.542,2.901,2,NA,NA,False,NA,BackHand,1.08 Metre,NA,NA,False,False,True,6.106,1.495,0.042,Body,1.347,0.0,0.027,12.645,2.988,1.198,-6.867,5.223,0.025,12.645,2.988,1.198,0.0,4.527,1.082,-6.867,5.223,0.025,989.82,0,0,0,0,0,0,2,0,21766-19921,17955-24352,1,0,0,0
1_2_4_1,1,2,4,1,17955-24352,21766-19921,17955-24352,AdCourt,0 KPH,Pronated,NA,-11.519,2.115,2.946,0,NA,NA,False,NA,BackHand,2.16 Metre,NA,NA,False,False,True,5.341,-0.78,0.041,T,1.206,0.0,0.053,3.402,1.25,1.561,-12.623,4.536,0.036,14.179,-2.212,1.157,0.0,1.749,2.376,-9.584,4.142,0.035,841.63,0,0,0,0,0,0,2,1,21766-19921,17955-24352,1,0,0,0
1_2_5_1,1,2,5,1,17955-24352,21766-19921,17955-24352,DeuceCourt,168 KPH,Unclassified,NA,-11.545,-0.792,2.918,1,NA,NA,False,NA,BackHand,1.24 Metre,NA,NA,False,False,True,5.614,2.12,0.042,Body,1.241,0.0,1.075,12.369,3.356,1.088,0.839,-1.283,0.047,,,,,,,,,,2217.9,0,0,0,0,0,0,3,1,21766-19921,17955-24352,1,0,0,0
1_3_1_1,1,3,1,1,21766-19921,17955-24352,21766-19921,DeuceCourt,149.49 KPH,Unclassified,0.67 Metre,11.386,2.091,2.775,0,Faulty Serve,NA,False,NA,BackHand,1.53 Metre,Cross Court,NA,False,False,True,-7.069,-4.004,0.039,Wide,1.526,0.0,-1.344,11.386,2.091,2.775,-7.069,-4.004,0.039,,,,,,,,,,0,1,0,0,0,0,0,0,0,21766-19921,17955-24352,1,1,0,0
1_3_1_2,1,3,1,2,21766-19921,17955-24352,21766-19921,DeuceCourt,113 KPH,Pronated,NA,11.342,1.361,2.727,5,NA,NA,False,NA,BackHand,2.02 Metre,NA,NA,False,False,True,-3.766,-0.952,0.045,T,1.198,0.0,-0.162,-8.202,-3.65,2.089,12.482,-2.157,0.032,-11.679,-2.113,1.548,0.0,0.825,1.026,4.989,2.11,0.042,2090.11,0,0,0,0,0,0,0,0,21766-19921,17955-24352,1,1,0,0
1_3_2_1,1,3,2,1,21766-19921,17955-24352,21766-19921,AdCourt,162.17 KPH,Slice,1.82 Metre,11.38,-2.488,2.75,0,Faulty Serve,NA,False,NA,BackHand,1.57 Metre,Cross Court,NA,False,False,True,-8.219,1.604,0.035,Body,1.575,0.0,0.13,11.38,-2.488,2.75,-8.219,1.604,0.035,,,,,,,,,,0,1,0,0,0,0,0,1,0,21766-19921,17955-24352,1,1,0,0
1_3_2_2,1,3,2,2,21766-19921,17955-24352,17955-24352,AdCourt,101 KPH,Unclassified,NA,11.495,-2.758,2.678,6,NA,NA,False,NA,BackHand,1.62 Metre,NA,NA,False,False,True,-4.42,2.499,0.033,Body,1.451,0.0,1.377,12.231,-6.459,1.021,0.154,-0.514,0.043,-10.634,4.184,1.728,0.0,-0.547,1.811,8.371,-4.026,0.033,1623.5,0,0,0,0,0,0,1,0,21766-19921,17955-24352,1,1,0,0
