point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,13263,28266,28266,DeuceCourt,145 KPH,Flat,NA,11.57,1.02,2.765,4,Winner,NA,False,Ground,ForeHand,1.13 Metre,Down the Line,NA,False,False,True,-4.709,-2.727,0.042,Body,1.114,0.0,-1.555,-11.8,-0.802,1.53,5.611,-3.592,0.028,-13.588,-4.862,1.097,0.0,-2.043,1.884,11.067,0.233,0.034,2186.8,0,0,0,0,0,0,0,0,13263,28266,0,0,0,0
1_1_2_1,1,1,2,1,13263,28266,28266,AdCourt,161.32 KPH,Pronated,1.51 Metre,11.611,-0.961,2.713,0,Faulty Serve,Long Error,False,NA,BackHand,1.55 Metre,NA,NA,False,False,True,-7.909,3.645,0.034,Wide,1.547,0.0,1.771,11.611,-0.961,2.713,-7.909,3.645,0.034,,,,,,,,,,0,1,0,0,0,0,0,0,1,13263,28266,0,0,0,0
1_1_2_2,1,1,2,2,13263,28266,28266,AdCourt,131 KPH,Flat,NA,11.794,-1.188,2.743,6,Unforced Error,NA,True,Ground,BackHand,0.72 Metre,NA,Net Error,False,False,True,-6.268,3.286,0.039,Wide,1.494,0.0,1.946,12.679,-2.357,1.297,,,,-13.253,4.825,1.229,0.0,0.886,1.42,6.611,-0.945,0.038,1114.49,0,0,0,0,0,0,0,1,13263,28266,0,0,0,0
1_1_3_1,1,1,3,1,13263,28266,28266,DeuceCourt,164.06 KPH,Flat,0.31 Metre,11.535,0.952,2.72,0,Faulty Serve,Long Error,False,NA,ForeHand,1.33 Metre,NA,NA,False,False,True,-6.713,-1.115,0.04,T,1.326,0.0,-0.308,11.535,0.952,2.72,-6.713,-1.115,0.04,,,,,,,,,,0,1,0,0,0,0,0,0,2,13263,28266,0,0,0,0
1_1_3_2,1,1,3,2,13263,28266,28266,DeuceCourt,125 KPH,Slice,NA,11.796,0.904,2.793,2,Unforced Error,NA,False,Ground,ForeHand,2.71 Metre,NA,Long Error,False,False,True,-4.917,-2.779,0.042,Wide,1.304,0.0,-1.464,13.111,2.031,1.105,-12.885,2.208,0.035,-12.888,-4.945,1.015,0.0,-1.585,1.521,8.218,0.67,0.043,2339.1,0,0,0,0,0,0,0,2,13263,28266,0,0,0,0
1_1_4_1,1,1,4,1,13263,28266,28266,AdCourt,163.25 KPH,Flat,0.37 Metre,11.524,-0.948,2.705,0,Faulty Serve,Long Error,False,NA,ForeHand,1.37 Metre,NA,NA,True,False,True,-6.77,1.996,0.039,Body,1.369,0.0,0.971,11.524,-0.948,2.705,-6.77,1.996,0.039,,,,,,,,,,0,1,0,0,0,0,0,0,3,13263,28266,0,0,0,0
1_1_4_2,1,1,4,2,13263,28266,28266,AdCourt,123 KPH,Flat,NA,11.721,-1.067,2.769,6,Forced Error,NA,False,Ground,ForeHand,2.51 Metre,NA,NA,True,True,True,-5.272,0.76,0.039,T,1.394,0.0,0.437,14.429,2.422,0.555,-12.885,1.021,0.04,-13.326,1.409,1.312,0.0,2.439,1.647,8.084,3.129,0.036,2181.2,0,0,0,0,0,0,0,3,13263,28266,0,0,0,0
1_2_1_1,1,2,1,1,28266,13263,28266,DeuceCourt,144 KPH,Flat,NA,11.878,0.243,2.685,1,Forced Error,NA,False,Ground,ForeHand,0.98 Metre,NA,NA,False,False,True,-4.909,-2.018,0.043,Body,1.232,0.0,-1.227,-12.615,-3.099,1.389,5.078,4.615,0.026,-12.615,-3.099,1.389,0.0,1.555,0.984,5.078,4.615,0.026,2040.65,0,0,0,0,0,0,0,0,13263,28266,0,1,0,0
1_2_2_1,1,2,2,1,28266,13263,28266,AdCourt,172.12 KPH,NA,NA,11.431,-1.099,2.697,0,Faulty Serve,NA,True,NA,ForeHand,0.93 Metre,NA,NA,False,False,True,,,,,0.93,0.0,1.452,11.431,-1.099,2.697,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,13263,28266,0,1,0,0
1_2_2_2,1,2,2,2,28266,13263,28266,AdCourt,125 KPH,Flat,NA,11.406,-1.062,2.709,1,Unforced Error,NA,False,Ground,ForeHand,2.37 Metre,NA,Long Error,False,False,True,-3.947,1.183,0.044,T,1.132,0.0,0.749,-12.846,2.391,1.268,12.459,-2.838,0.032,-12.846,2.391,1.268,0.0,-0.238,2.374,12.459,-2.838,0.032,2517.08,0,0,0,0,0,0,1,0,13263,28266,0,1,0,0
1_2_3_1,1,2,3,1,28266,13263,28266,DeuceCourt,172.84 KPH,Pronated,0.56 Metre,11.47,0.708,2.72,0,Faulty Serve,Long Error,False,NA,BackHand,1.33 Metre,NA,NA,False,False,True,-6.958,-0.887,0.04,T,1.328,0.0,-0.282,11.47,0.708,2.72,-6.958,-0.887,0.04,,,,,,,,,,0,1,0,0,0,0,0,2,0,13263,28266,0,1,0,0
1_2_3_2,1,2,3,2,28266,13263,13263,DeuceCourt,123 KPH,Pronated,NA,11.532,0.484,2.689,8,Forced Error,NA,False,Ground,BackHand,1.95 Metre,NA,NA,False,False,True,-3.485,-2.052,0.042,Body,1.063,0.0,-1.281,14.698,-3.258,0.793,-12.557,-1.339,0.037,-11.639,-3.429,1.459,0.0,-2.806,1.585,7.595,-2.493,0.034,1653.21,0,0,0,0,0,0,2,0,13263,28266,0,1,0,0
