point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
1_1_1_1,1,1,1,1,11073,21500,,DeuceCourt,157.02 KPH,NA,0.75 Metre,-11.6160002,-1.12699997,2.55100012,0,Faulty Serve,Net Error,True,NA,ForeHand,0.57 Metre,NA,Net Error,False,False,True,-0.388000011,-0.644999981,0.0469999984,T,,,,-11.6160002,-1.12699997,2.55100012,-0.388000011,-0.644999981,0.0469999984,,,,,,,,,,NA,1,0,0,0,0,0,0,0
1_1_1_2,1,1,1,2,11073,21500,11073,DeuceCourt,130 KPH,Flat,NA,-11.6309996,-0.889999986,2.53999996,7,Unforced Error,NA,False,Ground,ForeHand,2.22 Metre,NA,Long Error,False,False,True,5.63600016,0.874000013,0.0450000018,T,,,,12.2410002,5.76599979,0.800999999,-12.684,2.25900006,0.0460000001,13.6459999,1.76499999,1.48599994,0.0,1.38199997,2.40300012,-9.31200027,1.62699997,0.0340000018,2743.92,0,0,0,0,0,0,0,0
1_1_2_1,1,1,2,1,11073,21500,21500,AdCourt,147 KPH,Flat,NA,-11.776,0.713,2.58299994,8,Unforced Error,NA,False,Ground,BackHand,1.96 Metre,NA,Long Error,False,False,True,5.86600018,-2.7420001,0.0359999985,Body,1.26600003,-0.0,-1.64900005,-12.4169998,2.95600009,0.661000013,12.885,-1.53999996,0.0419999994,12.8970003,-4.05900002,1.07299995,0.0,-2.29299998,2.18899989,-10.9949999,-1.16999996,0.0419999994,2454.78,0,0,0,0,0,0,1,0
1_1_3_1,1,1,3,1,11073,21500,21500,DeuceCourt,152.6 KPH,Flat,1.09 Metre,-11.4720001,-1.24699998,2.58999991,0,Faulty Serve,Long Error,False,NA,ForeHand,1.48 Metre,NA,NA,False,False,True,7.49100018,2.01699996,0.0320000015,Body,,,,-11.4720001,-1.24699998,2.58999991,7.49100018,2.01699996,0.0320000015,,,,,,,,,,NA,1,0,0,0,0,0,1,1
1_1_3_2,1,1,3,2,11073,21500,11073,DeuceCourt,124 KPH,Flat,NA,-11.6199999,-1.04100001,2.64599991,1,Unforced Error,NA,False,Ground,ForeHand,2.34 Metre,NA,Long Error,False,False,True,4.37900019,1.28499997,0.0439999998,T,,,,12.8079996,2.73799992,1.35800004,-12.7709999,-1.41600001,0.0399999991,12.8079996,2.73799992,1.35800004,0.0,0.592999995,2.34100008,-12.7709999,-1.41600001,0.0399999991,2539.92,0,0,0,0,0,0,1,1
1_1_4_1,1,1,4,1,11073,21500,11073,AdCourt,152 KPH,Flat,NA,-11.4879999,0.717999995,2.59500003,1,Forced Error,NA,True,Ground,ForeHand,0.83 Metre,NA,NA,False,False,True,4.56400013,-0.141000003,0.0450000018,T,,,,13.5710001,-0.460999995,1.25800002,0.0379999988,1.31799996,0.0469999984,13.5710001,-0.460999995,1.25800002,-0.0549999997,1.10699999,0.833999991,0.0379999988,1.31799996,0.0469999984,1492.92,0,0,0,0,0,0,2,1
1_1_5_1,1,1,5,1,11073,21500,11073,DeuceCourt,154.28 KPH,Flat,1.17 Metre,-11.2139997,-1.43299997,2.47399998,0,Faulty Serve,Long Error,False,NA,BackHand,1.34 Metre,NA,NA,False,False,True,7.5710001,0.270999998,0.0489999987,T,,,,-11.2139997,-1.43299997,2.47399998,7.5710001,0.270999998,0.0489999987,,,,,,,,,,NA,1,0,0,0,0,0,3,1
1_1_5_2,1,1,5,2,11073,21500,11073,DeuceCourt,136 KPH,Flat,NA,-11.6549997,-1.12100005,2.63000011,5,Unforced Error,NA,False,Ground,BackHand,1.89 Metre,NA,Long Error,False,False,True,5.60200024,0.894999981,0.0450000018,T,,,,13.8000002,-4.11999989,1.023,-12.2220001,-2.11999989,0.0350000001,12.6330004,1.90699995,1.46700001,0.0,1.74199998,1.63100004,-6.704,1.347,0.0320000015,1809,0,0,0,0,0,0,3,1
1_2_1_1,1,2,1,1,21500,11073,21500,DeuceCourt,146 KPH,Flat,NA,-11.3830004,-1.028,2.53999996,13,Unforced Error,NA,False,Ground,ForeHand,1.48 Metre,NA,Wide Error,False,False,True,4.64799976,3.39100003,0.0209999997,Wide,1.097,0.0,1.96700001,12.3990002,3.20700002,0.748000026,-8.9460001,4.14599991,0.0320000015,11.7299995,5.55600023,1.18400002,0.0,0.838999987,1.39400005,-7.1789999,-2.02900004,0.0329999998,2385,0,0,0,0,0,0,0,0
1_2_2_1,1,2,2,1,21500,11073,11073,AdCourt,120 KPH,Pronated,NA,-11.6269999,1.16900003,2.52099991,4,Unforced Error,NA,True,Ground,BackHand,0.83 Metre,NA,Net Error,False,False,True,3.90799999,-2.74900007,0.0340000018,Wide,,,,-8.08600044,3.70700002,0.90200001,,,,12.0579996,-4.8579998,1.46300006,0.0,-1.79200006,1.82000005,-8.65400028,-0.112000003,0.0370000005,2900.7,0,0,0,0,0,0,1,0
1_2_3_1,1,2,3,1,21500,11073,21500,DeuceCourt,157 KPH,Flat,NA,-11.4890003,-0.920000017,2.54900002,1,Ace,NA,False,NA,ForeHand,1.18 Metre,Cross Court,NA,False,False,True,5.45499992,3.58899999,0.0219999999,Wide,,,,-11.4890003,-0.920000017,2.54900002,5.45499992,3.58899999,0.0219999999,,,,,,,,,,1039.2,0,0,0,1,0,0,1,1
1_2_4_1,1,2,4,1,21500,11073,21500,AdCourt,171.33 KPH,NA,0.17 Metre,-11.3450003,0.991999984,2.58999991,0,Faulty Serve,Net Error,True,NA,BackHand,0.83 Metre,NA,Net Error,False,False,True,-0.172999993,-0.66900003,0.0469999984,T,,,,-11.3450003,0.991999984,2.58999991,-0.172999993,-0.66900003,0.0469999984,,,,,,,,,,NA,1,0,0,0,0,1,2,1
1_2_4_2,1,2,4,2,21500,11073,21500,AdCourt,119 KPH,Pronated,NA,-11.6099997,1.42700005,2.56999993,1,Unforced Error,NA,False,Ground,BackHand,2.78 Metre,NA,Long Error,False,False,True,4.31699991,-2.7249999,0.0340000018,Body,1.25300002,0.0,-1.796,14.2980003,-5.36899996,1.53799999,-12.885,-0.0540000014,0.0430000015,14.2980003,-5.36899996,1.53799999,0.0,-2.03399992,2.78299999,-12.885,-0.0540000014,0.0430000015,1724.1,0,0,0,0,0,0,2,1
1_2_5_1,1,2,5,1,21500,11073,21500,DeuceCourt,141.68 KPH,NA,0.19 Metre,-11.6540003,-0.885999978,2.54500008,0,Faulty Serve,Net Error,True,NA,BackHand,0.92 Metre,NA,Net Error,False,False,True,-0.192000002,1.03999996,0.0469999984,T,0.917999983,0.0350000001,0.853999972,-11.6540003,-0.885999978,2.54500008,-0.192000002,1.03999996,0.0469999984,,,,,,,,,,2043.9,1,0,0,0,0,0,3,1
1_2_5_2,1,2,5,2,21500,11073,21500,DeuceCourt,136 KPH,Flat,NA,-11.3500004,-1.03499997,2.57399988,3,Unforced Error,NA,True,Ground,BackHand,0.94 Metre,NA,Net Error,False,False,True,4.77199984,1.28999996,0.0450000018,T,,,,10.8360004,-2.59500003,0.924000025,0.217999995,-2.73399997,0.0359999985,10.4189997,2.25699997,1.29900002,0.0,2.86599994,1.5,-8.65799999,3.19199991,0.0309999995,2298.06,0,0,0,0,0,0,3,1
